Symbol,Start,End,Label,Market Cap,Sector,Income,Sales,Employees,Analyst Rating (1 buy/5 sell),price-to-earnings,Price/Earnings-to-Growth,Price-to-Sales Ratio,Price-to-Book,Price to free cash flow,debt-to-equity,EPS (ttm),Inst Own,ROE,ROI,Profit Margin,Shs Outstand,Beta
LEN,74.27,115.25,UP,23412705180,Real Estate,4.43B,31.93B,10753,2.40,5.22,0.22,0.70,0.99,3650.44,0.24,15.18,95.10%,17.40%,16.40%,11.80%,288.11M,1.43
LEVI,19.65,25.04,UP,5917866215,Consumer Discretionary,571.50M,6.26B,16600,1.80,10.86,2.05,0.95,3.33,174.34,0.53,1.41,79.30%,32.90%,23.10%,9.10%,397.12M,1.12
LFG,10.75,17.4,UP,2105407422,Utilities,-1.60M,204.50M,292,1.90,-,-,15.13,8.89,-,2.45,-0.12,-,1.50%,-13.10%,-0.80%,80.52M,-
LH,204.88,313.34,UP,19971840000,Health Care,1.76B,15.26B,75500,1.90,12.48,-,1.37,2.07,11.44,0.52,18.73,96.00%,20.00%,15.90%,13.80%,92.30M,1.06
LHX,180.44,212.94,UP,47063308964,Industrials,1.13B,16.83B,47000,-,40.11,15.24,2.68,2.41,43.65,0.38,5.75,85.40%,6.00%,6.20%,6.70%,191.30M,0.76
LII,268.23,323.11,UP,8287530986,Industrials,486.20M,4.59B,11000,3.20,17.59,1.43,1.83,-,1009.63,-,13.51,66.80%,-140.40%,50.90%,10.60%,35.40M,0.91
LIN,258.81,344.33,UP,147255887402,Industrials,3.84B,33.76B,65293,1.90,41.49,3.96,4.58,4.14,33.40,0.41,7.55,85.00%,9.40%,6.40%,11.40%,497.19M,0.88
LITB,2.36,1.04,DOWN,99491440,Consumer Discretionary,-5.50M,438.00M,971,-,-,-,0.27,2.15,-,0.00,-0.05,7.90%,-9.40%,-40.60%,-1.20%,113.07M,0.36
LL,30.14,17.33,DOWN,243206333,Consumer Discretionary,25.90M,1.15B,2400,3.00,8.56,0.29,0.19,0.79,-,0.05,0.88,81.40%,9.60%,15.30%,2.30%,28.93M,2.18
LLY,165.5,277.25,UP,343454940227,Health Care,5.69B,29.07B,35000,2.00,58.25,3.27,12.25,38.47,102.07,1.97,6.27,84.30%,70.80%,20.80%,21.10%,950.18M,0.36
LMND,113.36,42.91,DOWN,1657106727,Finance,-279.40M,171.00M,1119,3.10,-,-,7.81,1.40,-,0.00,-4.53,31.80%,-29.40%,-24.40%,-,61.82M,-
LMT,344.64,353.58,UP,126951248417,Industrials,5.87B,64.72B,114000,2.70,22.44,2.86,1.98,10.78,23.14,0.00,21.78,77.00%,52.90%,27.30%,9.10%,264.10M,0.76
LNC,48.82,68.54,UP,9178589856,Finance,880.00M,19.64B,10848,2.90,6.42,0.39,0.29,0.62,2.04,0.71,5.18,79.20%,5.40%,6.50%,4.50%,171.13M,1.82
LNN,127.47,151.48,UP,1854013186,Industrials,65.80M,770.70M,1262,2.70,27.59,1.20,2.39,4.59,-,0.29,5.96,93.50%,17.80%,14.30%,8.50%,10.98M,0.60
LOW,160.38,256.39,UP,120825572372,Consumer Discretionary,8.40B,95.39B,200000,2.20,14.71,1.56,1.22,-,21.83,-,12.68,79.10%,-154.70%,46.80%,8.80%,638.00M,1.14
LPG,12.81,12.68,DOWN,730084754,Consumer Discretionary,90.90M,288.10M,79,2.00,8.38,0.56,2.59,0.90,-,0.78,2.27,71.20%,10.10%,5.80%,31.60%,39.90M,1.15
LPI,20.33,61.53,UP,1117236481,Energy,528.90M,1.94B,273,2.40,2.21,0.21,0.60,1.71,1.37,1.90,31.17,80.30%,114.90%,36.90%,27.20%,16.83M,3.35
LPL,8.66,10.09,UP,3152356317,Technology,147.70M,19.71B,70707,4.00,29.81,-,0.17,0.38,2.67,1.09,0.16,2.10%,7.50%,7.00%,3.50%,715.63M,1.39
LRN,21.01,33.11,UP,1456618577,Consumer Discretionary,90.30M,1.71B,7500,1.40,16.12,0.81,0.86,1.84,7.88,0.62,2.14,-,11.60%,9.00%,5.30%,42.08M,0.24
LSI,76.78,151.98,UP,9318604077,Real Estate,310.30M,920.00M,2241,2.20,27.01,5.40,9.33,2.43,69.48,0.88,3.76,95.50%,9.20%,5.40%,33.70%,84.27M,0.60
LTC,37.77,34.24,DOWN,1561459693,Real Estate,94.30M,166.80M,25,3.00,16.55,2.02,9.55,1.95,-,0.99,2.35,78.30%,12.50%,3.20%,57.50%,40.27M,0.91
LTHM,18.78,24.77,UP,5623714017,Industrials,108.10M,588.70M,1109,2.50,57.09,57.09,9.32,3.95,-,0.20,0.53,91.40%,5.90%,0.60%,9.30%,179.27M,1.74
LU,14.3,5.65,DOWN,3543009980,Finance,2.08B,8.81B,92380,2.00,1.91,19.09,0.43,0.28,-,0.55,0.84,17.00%,16.10%,12.50%,23.70%,2.29B,-
LUMN,9.72,12.74,UP,7552801032,Telecommunications,2.00B,19.02B,35000,3.50,3.12,-,0.33,0.50,2.83,2.30,1.94,80.30%,16.80%,8.90%,10.50%,1.03B,1.05
LUV,45.04,42.72,DOWN,21568278352,Consumer Discretionary,827.00M,22.69B,64123,2.00,29.38,-,0.96,2.03,6.35,0.80,1.27,79.60%,7.70%,6.40%,3.60%,593.00M,1.07
LVS,57.95,37.68,DOWN,29282851083,Consumer Discretionary,-1143.00M,4.00B,44500,2.00,-,-,7.65,7.98,-,3.92,-1.50,41.00%,51.40%,-4.90%,46.90%,764.00M,1.14
LW,75.67,63.02,DOWN,12412632905,Consumer Staples,403.00M,4.24B,8000,1.90,30.61,0.90,2.89,24.03,34.81,5.38,2.78,92.00%,99.00%,10.30%,9.50%,144.00M,0.54
LXP,10.18,15.64,UP,2703785594,Real Estate,314.10M,330.00M,62,2.80,10.16,2.03,8.69,1.38,63.58,0.76,1.02,-,14.80%,1.70%,95.20%,283.57M,0.77
LXU,2.52,11.08,UP,1481842081,Industrials,-47.30M,801.20M,545,1.50,-,-,1.58,2.07,5.25,1.18,-4.07,45.00%,-9.40%,9.50%,-5.90%,88.18M,1.71
LYB,89.29,92.18,UP,25016738370,Industrials,4.26B,53.08B,19100,2.70,6.46,-,0.50,2.24,11.70,0.93,12.94,69.90%,34.80%,23.90%,8.00%,326.00M,1.21
LYG,1.85,2.54,UP,32465840574,Finance,4.95B,16.22B,57955,1.00,6.93,-,2.01,0.59,-,1.71,0.28,2.00%,-,7.00%,-,17.55B,1.26
LYV,70.67,119.71,UP,18282759929,Consumer Discretionary,-98.50M,11.64B,10200,2.10,-,-,1.45,-,8.74,-,-0.51,72.60%,20.60%,-6.40%,-0.80%,224.67M,1.31
LZB,39.71,35.98,DOWN,1072031593,Consumer Discretionary,163.90M,2.44B,12800,2.00,6.60,0.85,0.44,1.28,-,0.00,3.76,-,20.50%,18.90%,6.70%,43.09M,1.05
M,11.22,26.84,UP,5656940799,Consumer Discretionary,1.54B,25.93B,88857,2.80,3.79,-,0.21,1.50,4.14,0.85,5.17,88.10%,45.90%,22.90%,6.00%,271.10M,1.77
MA,351.49,360.99,UP,314926149301,Consumer Discretionary,9.78B,21.64B,24000,1.80,32.47,1.55,14.23,49.34,34.26,2.28,10.01,78.70%,145.60%,39.90%,45.20%,965.00M,1.10
MAA,122.71,228.94,UP,18214808200,Real Estate,625.30M,1.96B,2429,2.40,28.00,4.00,8.95,2.93,45.28,0.76,5.41,97.40%,10.50%,4.20%,32.00%,115.36M,0.73
MAC,10.66,17.54,UP,2392604584,Real Estate,36.10M,861.80M,639,3.20,70.76,336.93,2.90,0.89,21.51,1.56,0.17,85.50%,1.20%,-2.20%,4.20%,214.99M,2.11
MAIN,31.35,44.61,UP,2789183356,Finance,258.30M,323.50M,80,2.60,10.76,1.35,9.11,1.55,-,1.00,3.67,20.00%,14.30%,4.20%,79.80%,73.31M,1.32
MAN,89.87,97.52,UP,4076496858,Consumer Discretionary,436.20M,20.40B,30000,-,9.74,1.06,0.20,1.71,9.16,0.58,8.11,-,16.50%,11.00%,2.00%,52.70M,1.69
MANU,16.47,14.26,DOWN,2121437622,Consumer Discretionary,-132.50M,668.90M,1035,2.00,-,-,3.28,14.39,35.13,5.03,-0.83,83.80%,-55.50%,-6.90%,-19.80%,157.96M,0.56
MAS,53.68,69.68,UP,10441998395,Industrials,858.00M,8.78B,20000,2.50,12.22,1.95,1.16,-,24.25,-,3.65,96.90%,-180.00%,35.70%,9.80%,226.00M,1.16
MATV,39.47,29.82,DOWN,1305292635,Basic Materials,77.60M,1.61B,5100,1.00,9.74,1.95,0.82,1.08,-,1.81,2.47,56.20%,11.40%,4.70%,4.80%,54.91M,0.83
MATX,56.69,88.64,UP,2868232428,Consumer Discretionary,1.40B,4.77B,4259,2.00,2.12,0.14,0.57,1.33,1.87,0.27,33.71,86.70%,79.20%,41.30%,29.30%,39.90M,1.33
MAX,37.58,15.6,DOWN,469071173,Industrials,-21.60M,560.40M,149,2.10,-,-,1.57,183.88,16.33,61.00,-0.53,96.30%,665.90%,1.80%,-3.90%,41.70M,-
MAXR,36.3,29.74,DOWN,1682236645,Telecommunications,48.00M,1.75B,4400,2.20,45.34,-,1.04,1.26,101.05,1.53,0.54,79.70%,3.40%,4.20%,2.70%,74.00M,1.41
MBI,6.41,13.36,UP,592919060,Finance,-387.00M,159.00M,87,2.70,-,-,4.00,-,3.21,-,-7.80,66.50%,86.20%,-8.30%,-,49.83M,1.23
MC,45.93,62.77,UP,2738338800,Finance,324.00M,1.46B,990,3.30,8.71,-,1.86,6.18,20.68,0.00,4.66,99.40%,69.00%,78.20%,22.20%,66.29M,1.41
MCB,35.9,105.21,UP,739609226,Finance,85.80M,229.30M,202,2.00,8.94,-,3.24,1.29,10.94,0.08,7.66,87.10%,15.10%,19.60%,37.40%,10.95M,1.15
MCD,210.22,267.21,UP,199953239912,Consumer Discretionary,5.91B,23.27B,200000,2.10,34.82,5.22,8.73,-,65.60,-,7.94,69.80%,-125.70%,28.30%,30.60%,737.50M,0.65
MCK,174.43,248.9,UP,55842156377,Health Care,1.40B,268.45B,58000,1.90,42.10,4.45,0.22,-,13.18,-,9.40,89.20%,-91.20%,33.60%,0.50%,144.20M,0.66
MCO,292,391.06,UP,48366632000,Finance,1.55B,5.72B,14571,2.30,31.60,-,8.49,21.48,77.40,0.00,8.37,94.70%,64.30%,22.70%,27.20%,183.20M,1.23
MCS,12.77,17.95,UP,477320248,Consumer Discretionary,2.30M,645.70M,7500,1.70,1905.00,127.00,0.76,1.06,5.85,0.62,0.01,-,0.50%,-3.50%,0.40%,31.49M,1.54
MCY,51.15,52.9,UP,1613514641,Finance,-375.80M,3.57B,4300,3.50,-,-,0.54,1.16,7.71,0.22,-6.79,41.30%,-2.90%,10.50%,-1.60%,55.37M,0.52
MD,23.88,26.98,UP,1631397464,Health Care,81.90M,1.96B,2725,3.00,15.95,1.13,0.65,1.54,20.32,0.96,0.96,99.84%,9.70%,8.50%,4.30%,85.08M,1.83
MDC,44.09,55.4,UP,2179971327,Consumer Discretionary,641.80M,5.66B,2080,2.70,3.39,0.27,0.38,0.70,41.13,0.56,8.80,74.30%,22.90%,13.20%,11.30%,70.88M,1.37
MDT,116.02,104.47,DOWN,115716085340,Health Care,5.21B,31.07B,95000,2.20,22.12,1.75,3.64,2.16,49.60,0.44,3.87,83.40%,9.90%,6.90%,16.80%,1.33B,0.78
MDU,25.69,30.74,UP,5777194523,Industrials,327.80M,6.17B,12826,1.80,18.01,2.86,0.95,1.74,-,0.89,1.61,74.30%,9.80%,7.30%,5.30%,203.35M,0.74
MEC,12.63,14.48,UP,139108982,Industrials,-3.50M,496.60M,2200,1.50,-,-,0.38,0.95,-,0.37,-0.18,71.20%,-3.00%,-2.00%,-1.20%,20.58M,0.52
MED,192.6,210.84,UP,1299313284,Consumer Discretionary,156.90M,1.66B,984,1.70,7.94,0.40,0.70,9.38,-,0.21,13.47,90.20%,84.30%,81.10%,9.40%,11.35M,1.20
MEI,37.59,48.37,UP,1511607140,Technology,94.60M,1.16B,7000,2.30,17.23,1.15,1.34,1.74,31.18,0.23,2.52,-,10.30%,9.40%,8.20%,36.57M,1.12
MET,46.08,62.58,UP,58465129583,Finance,3.41B,68.31B,43000,1.70,18.42,-,0.85,1.61,4.29,0.46,4.01,75.00%,6.00%,8.80%,5.00%,809.70M,1.07
MFA,15.04,18.16,UP,1013352043,Real Estate,-40.40M,224.00M,298,2.70,-,-,4.62,0.49,12.72,3.32,-0.49,64.00%,-1.70%,3.70%,-18.00%,102.52M,1.86
MFC,17.55,19.1,UP,31334937982,Consumer Discretionary,5.51B,21.81B,38000,2.50,5.85,0.68,1.44,0.92,2.36,0.27,2.84,53.70%,15.30%,12.60%,25.30%,1.92B,1.13
MFG,2.55,2.56,UP,27426164782,Finance,3.89B,9.20B,54492,3.00,7.13,3.96,3.07,0.44,1.67,1.29,0.31,0.40%,6.40%,3.10%,42.20%,12.68B,0.55
MFGP,5.43,5.56,UP,2005304004,Technology,-244.10M,2.74B,11355,3.00,-,-,0.76,0.74,14.38,1.60,-0.73,13.10%,-7.80%,-2.00%,-8.40%,327.00M,1.60
MG,7.13,7.61,UP,135323512,Technology,2.60M,686.40M,5400,1.30,55.98,10.37,0.18,0.71,7.10,1.10,0.08,50.30%,1.30%,3.50%,0.40%,29.96M,1.68
MGA,69.71,80.26,UP,16103875499,Consumer Discretionary,683.00M,36.03B,152000,2.10,25.03,0.63,0.45,1.50,42.57,0.32,2.26,72.20%,5.90%,9.80%,1.90%,291.10M,1.52
MGM,29.7,44.76,UP,14012126030,Consumer Discretionary,3.19B,11.88B,42000,2.10,4.79,-,1.12,2.49,9.84,1.49,7.14,72.60%,53.90%,10.70%,26.90%,417.39M,2.07
MGY,7.26,18.94,UP,5640352222,Energy,686.20M,1.48B,192,2.40,7.35,0.61,4.05,4.71,10.16,0.35,3.74,-,59.30%,49.20%,35.10%,188.15M,2.16
MHK,136.11,177.89,UP,6037612453,Consumer Discretionary,180.90M,11.85B,43000,2.80,35.51,-,0.49,0.74,-,0.33,2.57,78.80%,2.20%,10.00%,1.50%,63.53M,1.28
MHO,43.5,61.84,UP,1156505888,Consumer Discretionary,473.70M,3.97B,1657,1.00,2.43,0.19,0.28,0.57,-,0.46,16.44,96.80%,26.70%,15.30%,11.90%,27.62M,1.85
MIR,10.96,10.53,DOWN,1668155041,Technology,-,637.00M,2630,1.70,-,-,2.20,0.73,-,0.51,-24.95,84.80%,-,-2.70%,-,180.99M,-
MIXT,12.48,12.25,DOWN,174459152,Technology,6.10M,143.50M,996,1.00,29.12,16.54,1.16,1.51,27.75,0.05,0.27,36.60%,5.00%,7.30%,4.20%,22.05M,0.84
MKC,93.99,95.57,UP,21142759544,Consumer Staples,693.70M,6.39B,14000,3.10,31.13,6.10,3.36,4.67,345.39,1.17,2.57,87.50%,15.20%,8.50%,10.90%,268.30M,0.59
MKFG,10.83,5.63,DOWN,418867881,Technology,33.30M,96.80M,374,1.90,10.31,-,3.92,1.39,-,0.00,0.19,85.80%,13.30%,-25.00%,34.40%,188.10M,-
MKL,1021.01,1230.46,UP,16298119050,Finance,34.80M,10.84B,20300,2.00,725.45,72.55,1.54,1.43,7.39,0.35,1.70,79.40%,-,13.50%,-,13.56M,0.75
ML,11.24,3.86,DOWN,270675625,Technology,-47.60M,256.80M,556,2.00,-,-,0.93,1.11,-,0.00,-0.19,41.10%,-20.70%,-41.50%,-18.50%,236.31M,-
MLI,34.84,59.24,UP,3576788875,Industrials,645.00M,4.06B,5337,1.00,5.54,0.46,0.85,2.16,5.88,0.00,11.38,92.10%,45.00%,40.00%,15.90%,55.59M,1.09
MLM,277.8,438,UP,20934632608,Industrials,788.40M,5.93B,10000,2.10,27.20,1.74,3.63,3.16,53.87,0.00,12.60,98.00%,12.30%,6.90%,13.50%,62.40M,0.85
MLP,11.2,10.04,DOWN,167438108,Finance,5.50M,21.70M,9,2.00,31.54,-,8.04,5.08,15.03,0.00,0.28,19.10%,21.30%,-,25.60%,19.43M,0.55
MLR,37.38,33.35,DOWN,290897924,Consumer Discretionary,12.40M,783.50M,1450,-,23.55,-,0.36,1.01,-,0.14,1.08,84.80%,4.30%,6.30%,1.60%,11.42M,0.98
MMC,113.51,173.49,UP,80115455409,Finance,3.39B,20.84B,83000,2.60,24.45,2.95,3.86,8.49,45.11,1.19,6.67,92.60%,32.10%,14.90%,16.30%,498.00M,0.89
MMI,36.24,51.58,UP,1478279161,Finance,170.90M,1.54B,801,4.00,8.34,1.39,0.91,1.97,8.68,0.00,4.24,99.10%,25.10%,19.90%,11.10%,40.05M,1.03
MMM,171.87,177.64,UP,69512948990,Industrials,6.58B,34.76B,95000,3.40,10.87,27.16,1.99,5.04,145.04,1.12,11.47,68.70%,45.50%,18.70%,18.90%,568.80M,1.02
MMP,41.37,45.13,UP,11051177952,Energy,905.60M,3.15B,1715,2.60,11.97,2.20,3.37,6.09,184.35,2.86,4.29,54.10%,60.60%,15.80%,34.70%,207.50M,0.95
MMS,73.07,80.15,UP,3727493705,Consumer Discretionary,186.80M,4.56B,35800,2.00,19.80,1.58,0.79,2.40,10.95,0.97,3.00,-,12.30%,10.60%,4.10%,61.61M,0.71
MNRL,11.25,20.78,UP,1700567627,Energy,103.70M,251.90M,44,1.60,16.58,0.52,8.11,2.73,17.10,0.11,2.05,88.80%,18.40%,11.20%,41.20%,52.55M,1.86
MNSO,25.42,10.24,DOWN,1622012229,Consumer Discretionary,87.40M,1.38B,3372,1.70,24.52,0.68,1.51,2.17,-,0.09,0.28,18.20%,9.40%,8.00%,6.30%,302.75M,-
MO,40.84,47.25,UP,82681883731,Health Care,4.69B,25.24B,6000,2.60,17.82,3.91,3.27,-,54.28,-,2.57,60.80%,-187.40%,35.60%,18.60%,1.80B,0.69
MOD,12.17,9.94,DOWN,937246743,Consumer Discretionary,97.20M,2.10B,11100,1.50,11.18,1.26,0.51,2.46,44.65,0.88,1.85,90.40%,23.20%,12.60%,4.60%,52.20M,2.28
MODG,24.28,27.63,UP,3453359056,Consumer Discretionary,149.90M,3.72B,24800,1.80,25.15,1.30,0.93,0.92,-,0.36,0.75,79.90%,4.00%,3.60%,4.00%,184.70M,1.66
MODN,34.99,30.4,DOWN,1410130997,Technology,-26.60M,212.50M,982,1.90,-,-,6.30,9.87,50.49,1.00,-0.73,99.70%,-20.50%,-6.10%,-12.50%,36.94M,0.64
MOGU,24.48,4.8,DOWN,20701118,Consumer Discretionary,-87.60M,46.20M,468,1.00,-,-,0.43,0.19,-,0.01,-84.92,28.90%,-55.50%,-82.00%,-,8.40M,0.38
MOH,216.08,320.68,UP,20965308000,Health Care,839.00M,31.16B,14000,2.60,23.08,1.23,0.63,6.27,13.16,0.00,14.34,-,29.70%,15.50%,2.70%,58.40M,0.81
MOS,23.67,39.21,UP,18533942706,Industrials,3.25B,16.55B,12525,2.50,5.69,0.64,1.03,1.53,11.06,0.34,8.78,89.80%,29.30%,12.60%,19.70%,359.50M,1.56
MOV,16.75,42.12,UP,744707110,Consumer Discretionary,103.80M,769.90M,940,3.00,7.66,0.51,0.98,1.62,15.15,0.00,4.43,96.60%,22.70%,19.30%,13.70%,22.56M,1.22
MP,29.14,45.26,UP,5316259583,Basic Materials,250.60M,508.70M,365,1.80,23.71,0.71,10.29,4.67,72.61,0.58,1.31,60.40%,23.70%,8.20%,49.30%,176.53M,-
MPC,40.75,63.43,UP,56730951858,Energy,8.18B,160.80B,17700,2.00,8.07,0.37,0.35,2.42,17.06,1.02,14.81,80.90%,41.30%,7.50%,6.70%,532.00M,1.61
MPLN,7.92,4.31,DOWN,1773430480,Technology,160.60M,1.17B,2400,2.20,9.68,0.42,1.41,0.64,4.80,2.03,0.25,96.40%,6.80%,4.70%,13.70%,639.00M,-
MPLX,21.97,29.14,UP,33896546954,Energy,3.19B,10.84B,5836,2.40,10.97,1.10,3.12,2.93,45.07,1.75,3.14,23.80%,33.70%,13.00%,35.30%,1.01B,1.47
MPW,20.8,23.46,UP,6879319755,Real Estate,1.25B,1.57B,112,2.30,5.43,0.55,4.28,0.77,3.73,1.14,2.08,83.70%,13.00%,4.90%,71.40%,598.90M,0.85
MPX,14.39,12.57,DOWN,346492426,Consumer Discretionary,36.20M,349.00M,880,3.00,10.29,1.03,1.05,3.21,20.38,0.00,1.08,14.30%,34.10%,29.50%,10.40%,33.46M,1.20
MRC,6.41,6.86,UP,840623399,Industrials,-9.00M,2.96B,2600,1.80,-,-,0.28,2.41,-,1.03,-0.11,98.90%,-2.70%,1.10%,-0.30%,83.60M,2.15
MRK,77.2,77.14,DOWN,255113946791,Health Care,15.32B,58.97B,68000,2.20,16.58,1.54,4.36,5.86,42.36,0.73,6.04,76.10%,35.90%,15.50%,24.00%,2.53B,0.39
MRO,6.83,16.35,UP,20720503491,Energy,3.10B,7.33B,1531,2.40,7.83,0.43,3.01,2.01,6.75,0.35,4.22,79.10%,28.00%,7.50%,42.30%,703.00M,2.48
MS,68.33,98.8,UP,139560190000,Finance,12.02B,61.12B,78000,-,12.39,8.22,2.36,1.55,232.56,6.96,6.91,63.40%,14.70%,2.00%,23.10%,1.70B,1.30
MSA,146.1,150.48,UP,5218001514,Technology,69.10M,1.50B,4800,2.30,77.00,4.28,3.52,6.28,71.60,0.72,1.75,82.40%,8.20%,1.50%,4.60%,39.17M,0.97
MSC,14.23,5.95,DOWN,369769296,Consumer Discretionary,-273.00M,57.20M,3794,3.00,-,-,6.98,0.40,-,2.55,-2.24,22.30%,-30.00%,-7.60%,-,192.59M,-0.33
MSCI,437.64,612.54,UP,37468396588,Finance,849.50M,2.22B,4767,2.40,44.60,3.41,16.59,-,52.74,-,10.36,94.90%,-108.00%,22.60%,38.20%,80.50M,1.10
MSGE,100.24,70.91,DOWN,1682233316,Consumer Discretionary,-197.60M,1.72B,2200,2.10,-,-,0.93,0.81,-,0.89,-5.77,91.30%,-9.60%,-3.00%,-11.50%,34.33M,-
MSGS,179.15,173.64,DOWN,3818452146,Consumer Discretionary,49.70M,826.60M,467,1.70,74.31,4.40,4.49,-,18.76,-,2.03,79.30%,-27.90%,59.30%,6.00%,24.30M,0.95
MSI,167.5,271.09,UP,41895676708,Technology,1.20B,8.46B,18700,2.00,36.81,3.22,5.18,-,88.93,-,6.94,88.50%,-453.10%,23.80%,14.20%,167.20M,0.93
MSM,81.68,83.94,UP,4615717766,Industrials,339.80M,3.69B,6765,2.40,13.66,1.50,1.23,3.43,24.64,0.59,6.06,93.70%,26.90%,16.70%,9.20%,55.86M,1.01
MT,23.95,31.74,UP,18989741531,Industrials,16.71B,85.01B,158000,1.80,1.43,-,0.25,0.41,2.69,0.16,16.78,6.40%,32.80%,25.20%,19.70%,924.00M,1.91
MTB,126.82,153.18,UP,29204539000,Finance,1.69B,3.85B,17115,2.30,13.50,0.78,7.60,1.26,12.86,0.13,12.51,87.90%,9.40%,16.40%,43.90%,177.37M,0.79
MTD,1160.87,1702.53,UP,28470298985,Health Care,820.60M,3.87B,15600,2.80,36.59,3.52,7.47,4058.47,41.73,264.12,35.49,96.10%,777.10%,41.50%,21.20%,22.59M,1.17
MTDR,12.49,36.94,UP,7885719093,Energy,1.18B,2.92B,286,2.10,7.49,0.72,2.88,3.03,4.58,0.00,9.80,93.90%,49.90%,20.90%,40.30%,118.14M,3.59
MTG,12.03,14.36,UP,4154093039,Finance,756.20M,1.18B,711,1.90,5.81,1.31,3.47,0.91,6.82,0.20,2.32,-,16.00%,11.80%,64.20%,308.84M,1.38
MTH,82.1,120.09,UP,2789328853,Consumer Discretionary,967.30M,5.80B,1773,2.50,2.84,-,0.46,0.73,-,0.31,25.90,-,29.10%,17.50%,16.70%,36.57M,1.58
MTN,269.01,329.31,UP,8936278829,Consumer Discretionary,347.90M,2.53B,6900,2.70,25.48,0.56,3.43,5.41,29.66,1.70,8.49,98.60%,21.60%,11.80%,13.80%,40.31M,1.13
MTW,12.79,18.8,UP,321880686,Industrials,14.40M,1.86B,4600,3.00,24.22,1.43,0.18,0.53,-,0.60,0.40,77.20%,2.20%,3.80%,0.80%,35.28M,2.09
MTX,62.01,72.8,UP,1809983302,Industrials,143.60M,2.09B,3961,2.20,12.48,2.23,0.84,1.17,39.99,0.71,4.33,98.82%,9.30%,7.80%,6.90%,32.50M,1.30
MTZ,67.29,91.98,UP,6016142414,Industrials,169.00M,8.47B,27000,1.80,39.74,4.31,0.82,2.72,38.30,0.92,2.28,76.00%,6.90%,7.80%,2.00%,74.44M,1.36
MUFG,4.38,5.44,UP,58215435614,Finance,5.79B,21.25B,135049,-,10.71,0.57,3.03,0.54,-,2.62,0.45,1.90%,5.00%,2.40%,27.20%,12.59B,0.79
MUR,12.52,25.97,UP,7545680757,Energy,516.90M,3.01B,696,2.50,14.63,0.31,2.43,1.74,6.93,0.53,3.30,79.20%,12.50%,3.80%,17.10%,155.39M,2.47
MUSA,128.2,198.39,UP,7106005678,Energy,664.00M,22.85B,6245,2.70,11.29,2.51,0.30,9.28,11.26,2.36,27.11,91.90%,84.90%,18.20%,2.90%,23.21M,0.89
MUX,10.5,9.02,DOWN,170975507,Basic Materials,-71.40M,128.30M,430,-,-,-,1.41,0.53,-,0.00,-1.53,23.30%,-19.10%,-12.60%,-55.70%,47.43M,1.15
MWA,12.1,14.4,UP,1833316929,Industrials,87.90M,1.21B,3400,2.90,20.97,2.10,1.50,2.60,-,0.64,0.56,98.95%,12.60%,7.90%,7.30%,157.00M,1.29
MX,13.44,20.96,UP,454618305,Technology,70.60M,442.80M,890,2.30,6.82,0.25,0.92,0.93,5.53,0.00,1.36,70.00%,15.70%,14.60%,15.90%,44.90M,1.08
MYE,20.51,20.03,DOWN,741261869,Consumer Discretionary,54.10M,886.30M,2725,2.00,14.25,0.71,0.85,3.13,18.30,0.44,1.48,94.20%,23.60%,12.20%,6.10%,36.47M,1.45
MYOV,24.83,16.07,DOWN,2586087016,Health Care,-189.60M,333.30M,579,2.70,-,-,7.74,-,-,-,-2.00,32.90%,39.90%,167.60%,-56.90%,96.21M,2.24
NAT,3.09,1.66,DOWN,641005083,Consumer Discretionary,-148.60M,205.80M,19,-,-,-,3.33,1.36,-,0.72,-0.84,30.30%,-29.20%,-17.60%,-72.20%,208.80M,0.12
NBHC,32.65,43.98,UP,1635414526,Finance,85.00M,201.30M,1120,2.40,17.32,1.73,8.86,1.77,-,0.05,2.75,85.40%,10.20%,19.90%,42.20%,37.75M,0.93
NBR,60.62,82.33,UP,1649348457,Energy,-405.00M,2.44B,10000,-,-,-,0.69,3.67,21.96,5.89,-48.32,76.70%,-79.90%,-9.00%,-16.60%,9.10M,2.93
NCLH,23.73,21.02,DOWN,7163616672,Consumer Discretionary,-3910.60M,2.35B,34700,2.20,-,-,3.01,7.75,-,14.69,-9.87,59.80%,-202.50%,-26.80%,-,419.11M,2.47
NCR,36.26,40.03,UP,2910494000,Miscellaneous,119.00M,7.87B,38000,1.80,25.25,6.31,0.36,1.97,7.36,3.96,0.82,98.00%,9.20%,3.60%,1.60%,137.00M,1.68
NEE,74.22,92.77,UP,151622009552,Utilities,3.83B,19.84B,15000,1.90,39.90,4.27,7.63,4.17,30.24,1.74,1.94,80.80%,4.00%,2.80%,7.30%,1.97B,0.47
NEM,63.15,61.59,DOWN,33493316467,Basic Materials,742.00M,12.37B,14400,2.60,44.24,-,2.69,1.55,-,0.29,0.93,85.00%,-,0.50%,-,794.00M,0.27
NET,74.59,133.2,UP,18406548803,Technology,-289.80M,812.60M,3063,2.30,-,-,15.93,21.80,-,2.47,-0.91,87.50%,-41.90%,-10.70%,-35.70%,325.20M,-
NETI,17.08,7.46,DOWN,315260431,Consumer Discretionary,22.20M,130.30M,26,1.20,41.50,-,2.61,0.51,-,0.10,0.21,28.60%,3.70%,3.40%,17.10%,38.83M,1.12
