Symbol,Start,End,Label,Market Cap,Sector,Income,Sales,Employees,Recom Analyst Rating (1 buy/5 sell),price-to-earnings,Price/Earnings-to-Growth,Price-to-Sales Ratio,Price-to-Book,Price to free cash flow,debt-to-equity,EPS (ttm),Inst Own,ROE,ROI,Profit Margin,Shs Outstand,Beta
ACAD,52.81,23.54,DOWN,2613767438,Health Care,-204.60M,512.40M,540,2.70,-,-,4.68,5.45,-,0.00,-1.27,94.60%,-41.20%,-31.60%,-39.90%,161.65M,0.60
ACB,9.52,5.5,DOWN,438638652,Health Care,-1717.60M,221.30M,1338,2.90,-,-,2.59,0.49,-,0.41,-7.64,23.72%,-119.90%,-183.60%,-,300.44M,3.00
ACCD,41.45,26.27,DOWN,783055035,Technology,-417.20M,336.00M,2350,2.20,-,-,1.97,1.21,-,0.53,-6.08,80.50%,-16.90%,-10.60%,-36.60%,69.74M,-
ACER,2.54,2.36,DOWN,20287610,Health Care,-19.50M,0.40M,35,2.00,-,-,54.44,-,-,-,-1.35,26.50%,423.80%,902.80%,-,15.27M,1.21
ACET,13.42,16.54,UP,329109110,Health Care,-47.70M,33.90M,86,1.50,-,-,21.82,2.44,-,0.00,-1.37,92.60%,-17.00%,-20.20%,-,40.08M,2.15
ACGL,34.9,44.33,UP,21010728011,Finance,1.20B,8.71B,5200,-,18.21,1.05,2.50,1.81,6.86,0.24,3.12,91.00%,15.10%,11.10%,21.20%,369.24M,0.78
ACHC,50.49,60.13,UP,7291807792,Health Care,277.30M,2.45B,15900,2.20,25.81,2.09,2.95,2.64,52.15,0.53,3.04,-,9.50%,7.10%,9.90%,89.72M,1.25
ACHV,7.9,7.74,DOWN,21956511,Health Care,-31.90M,-,16,1.70,-,-,-,1.49,-,1.17,-3.35,27.50%,-131.00%,-,-,9.65M,1.11
ACIU,5.32,5.02,DOWN,228552985,Health Care,-75.60M,3.93M,143,1.30,-,-,56.55,1.23,-,0.01,-0.94,18.00%,-36.60%,-,-,84.46M,0.52
ACIW,37.88,34.87,DOWN,2790736452,Technology,152.10M,1.45B,3610,1.70,15.90,1.32,1.60,1.95,14.13,0.90,1.29,98.80%,12.50%,7.00%,10.50%,114.67M,1.14
ACLS,28.6,73.11,UP,1926861029,Technology,149.10M,807.20M,1122,2.00,14.79,0.74,2.63,3.67,17.13,0.08,4.40,86.40%,27.10%,18.00%,18.50%,33.10M,1.56
ACMR,29.84,28.39,DOWN,380204374,Technology,32.20M,308.70M,877,2.70,30.32,0.71,1.26,0.60,-,0.04,0.22,71.50%,5.90%,5.40%,10.40%,59.18M,0.53
ACNB,24.4,31.39,UP,310695625,Finance,30.00M,80.80M,397,-,10.68,-,3.95,1.30,10.85,0.00,3.45,30.60%,10.30%,23.50%,33.40%,8.71M,0.39
ACNT,8,15.9,UP,149994372,Industrials,37.60M,414.30M,638,-,3.96,0.32,0.37,1.14,11.25,0.53,3.75,48.70%,32.60%,11.90%,9.10%,10.24M,0.59
ACOR,3.8,2.35,DOWN,28580595,Health Care,-118.80M,122.00M,118,2.00,-,-,0.21,0.15,-,0.00,-8.80,27.40%,-71.60%,-22.40%,-77.90%,24.34M,1.66
ACRS,6.48,14.33,UP,1056413879,Health Care,-83.30M,6.10M,75,1.40,-,-,161.64,4.25,-,0.00,-1.33,96.20%,-40.10%,-45.50%,-,65.99M,0.56
ACRX,25,9.81,DOWN,18895324,Health Care,45.70M,2.90M,43,2.50,0.34,-,5.25,0.43,-,0.30,5.76,11.80%,-217.50%,162.80%,-,7.36M,0.28
ACST,3.16,1.25,DOWN,25873875,Health Care,-15.30M,-,32,1.00,-,-,-,0.18,-,0.00,-0.36,0.26%,-10.30%,-,-,44.33M,1.40
ACTG,3.8,5.21,UP,159736650,Miscellaneous,112.30M,95.10M,287,-,-,-,1.52,0.71,96.45,0.48,-1.20,62.20%,36.80%,-1.60%,-,43.99M,0.40
ADAP,6.01,3.87,DOWN,231986077,Health Care,-176.00M,11.70M,494,2.70,-,-,21.88,1.82,-,0.00,-1.12,70.60%,-93.60%,-79.10%,-,163.37M,2.02
ADBE,485.34,570.53,UP,147979994500,Technology,4.81B,17.19B,25988,2.20,28.18,2.14,7.79,9.32,18.78,0.29,10.14,84.10%,33.80%,26.00%,28.00%,469.00M,1.25
ADEA,5.38,5.01,DOWN,1166236786,Technology,-37.30M,925.30M,2250,1.70,-,-,1.22,0.85,5.63,0.55,-0.36,94.50%,-3.00%,-0.90%,-4.40%,104.00M,1.72
ADES,5.37,6.47,UP,55106237,Industrials,26.70M,110.70M,139,2.00,1.94,0.04,0.49,0.36,6.39,0.04,1.44,38.40%,18.50%,-5.00%,24.10%,19.13M,0.70
ADI,146.02,174.78,UP,73401679889,Technology,1.89B,11.11B,24700,2.00,39.96,2.72,6.59,2.04,33.01,0.17,3.61,88.30%,5.10%,3.40%,17.00%,517.01M,1.11
ADIL,1.73,2.67,UP,7967571,Health Care,-16.90M,-,16,2.30,-,-,-,0.93,-,0.00,-0.78,6.10%,-230.20%,-,-,24.32M,0.55
ADMA,2.11,1.32,DOWN,553727160,Health Care,-73.10M,110.10M,527,1.70,-,-,4.68,4.43,-,1.22,-0.42,76.10%,-60.30%,-24.70%,-66.40%,196.35M,1.00
ADMP,0.54,0.58,UP,21147640,Health Care,-31.60M,0.70M,15,3.00,-,-,30.17,2.80,-,0.00,-0.20,8.70%,-,-104.50%,-,149.82M,1.06
ADN,14.88,7.08,DOWN,45883777,Utilities,-35.50M,8.10M,200,1.50,-,-,13.26,0.90,-,0.00,-0.70,26.50%,-27.70%,-33.10%,-,51.63M,-0.16
ADP,168.96,245.56,UP,100005072000,Consumer Discretionary,3.03B,16.88B,60000,3.00,32.81,2.19,5.78,30.52,92.16,0.93,7.22,80.90%,64.20%,47.10%,17.00%,415.80M,0.83
ADPT,55.83,28.33,DOWN,1112980577,Health Care,-232.10M,159.70M,858,2.20,-,-,7.36,2.44,-,0.00,-1.64,87.10%,-39.90%,-34.60%,-,142.36M,1.05
ADSK,296.84,281.71,DOWN,46245642444,Technology,557.80M,4.74B,12600,2.10,76.35,3.27,8.82,56.80,25.50,3.55,2.54,93.00%,62.90%,15.80%,11.80%,217.00M,1.49
ADTN,14.73,22.92,UP,1745436898,Telecommunications,-13.60M,618.80M,1335,2.10,-,-,2.54,2.89,-,0.00,-0.28,77.80%,-3.80%,-4.80%,-2.20%,77.42M,1.40
ADTX,105,27.92,DOWN,11055704,Health Care,-45.70M,0.50M,58,3.00,-,-,5.04,1.38,-,0.64,-80.66,35.30%,-625.50%,-404.00%,-,4.16M,-
ADUS,116.26,93.37,DOWN,1631993402,Health Care,44.40M,904.90M,5416,1.20,39.60,2.64,1.83,2.89,28.04,0.00,2.76,-,7.70%,6.40%,4.90%,15.85M,0.77
ADV,13.33,7.7,DOWN,1079726289,Consumer Discretionary,70.80M,3.86B,20000,3.00,15.14,1.05,0.27,0.42,17.43,0.83,0.22,29.40%,2.80%,4.30%,1.80%,318.42M,-
ADVM,11.98,1.79,DOWN,86420213,Health Care,-154.40M,0.00M,188,2.50,-,-,-,0.32,-,0.00,-1.57,69.80%,-51.90%,-46.20%,-,99.00M,1.08
ADXN,14.11,6.31,DOWN,6986241,Health Care,-,1.59M,26,-,-,-,8.81,0.69,-,-,-3.26,15.92%,-,-,-,8.21M,-
AEHL,2.43,1.62,DOWN,3305655,Consumer Discretionary,-6.50M,41.20M,236,-,-,-,0.09,1.17,18.74,1.48,-1.08,6.80%,-79.30%,-92.00%,-15.70%,6.01M,0.91
AEHR,2.42,23.38,UP,568466485,Industrials,9.30M,55.90M,91,1.50,59.75,2.99,10.25,10.31,121.85,0.00,0.33,32.90%,19.90%,18.40%,16.70%,27.24M,1.65
AEI,5.89,0.61,DOWN,29998452,Real Estate,-45.90M,10.50M,32,2.50,-,-,2.81,0.15,-,0.00,-0.77,3.00%,-29.90%,-10.40%,-,122.89M,-
AEIS,97.99,92.28,DOWN,2944260977,Consumer Discretionary,142.50M,1.58B,10000,2.30,22.06,2.21,1.93,3.14,36.65,0.38,3.76,-,21.40%,11.10%,12.50%,37.38M,1.53
AEMD,2.52,1.93,DOWN,11364513,Miscellaneous,-11.20M,0.20M,14,2.00,-,-,55.79,0.53,-,0.00,-0.73,4.30%,-59.10%,-60.90%,-,22.90M,0.90
AEP,81.54,88.69,UP,44942517278,Utilities,2.46B,18.82B,16688,2.20,18.58,2.98,2.43,1.89,11.85,1.55,4.82,75.70%,10.40%,5.60%,13.10%,513.73M,0.41
AESE,1.46,1.74,UP,47293419,Telecommunications,-14.20M,7.20M,88,3.00,-,-,6.45,0.53,-,0.00,-0.36,20.90%,63.40%,-,-,39.12M,1.07
AEY,2.85,1.72,DOWN,27805007,Consumer Discretionary,-1.90M,90.00M,169,-,-,-,0.30,2.72,9.37,0.21,-0.15,3.30%,-20.40%,-43.70%,-2.10%,13.19M,0.55
AEYE,24.87,6.74,DOWN,63420679,Technology,-15.90M,27.20M,111,2.00,-,-,2.17,4.78,-,0.15,-1.39,18.70%,-96.00%,-80.20%,-58.50%,11.49M,1.28
AEZS,12.87,9.19,DOWN,19928030,Health Care,-11.70M,5.40M,17,-,-,-,3.59,0.36,-,0.00,-1.79,21.40%,-21.30%,-16.10%,-,4.86M,1.34
AFBI,9.71,15.26,UP,96853699,Finance,6.80M,31.50M,90,-,14.74,-,3.08,0.83,15.90,0.00,0.99,15.00%,6.10%,21.40%,23.00%,6.59M,0.45
AFIB,30.15,3.58,DOWN,20994056,Health Care,-94.10M,16.70M,338,2.70,-,-,1.55,0.34,-,0.47,-3.28,45.50%,-97.80%,-75.70%,-,28.34M,-
AFMD,6.06,5.69,DOWN,262837230,Health Care,-75.40M,33.90M,187,1.90,-,-,8.21,1.51,-,0.10,-0.59,68.50%,-52.60%,-41.40%,-,147.33M,2.17
AFYA,24.51,15.96,DOWN,1320268495,Real Estate,63.50M,408.80M,8079,2.10,22.59,3.60,3.61,2.41,12.55,0.72,0.69,56.00%,11.00%,8.00%,15.50%,90.48M,-
AGEN,3.23,3.37,UP,713570513,Health Care,18.10M,320.10M,441,1.50,21.59,-,2.16,244.00,-,4.03,0.11,53.20%,75.70%,-,5.60%,277.03M,1.30
AGIL,10.15,4.97,DOWN,216870161,Technology,-26.50M,172.90M,2630,1.70,-,-,1.15,2.19,-,0.86,-0.64,52.00%,-30.50%,-0.80%,-15.30%,46.04M,-
AGIO,44.3,33.57,DOWN,1511881791,Health Care,-369.40M,6.40M,390,2.40,-,-,215.33,1.26,-,0.00,-6.71,-,-29.50%,-,-,54.80M,0.99
AGLE,8.56,4.55,DOWN,61784235,Health Care,-87.50M,7.00M,92,2.20,-,-,9.00,1.09,-,0.00,-1.26,86.50%,-105.50%,-78.00%,-,82.21M,1.91
AGMH,15.77,2.5,DOWN,47670241,Technology,3.60M,36.70M,22,-,10.06,-,1.02,1.42,-,0.06,0.16,3.50%,40.40%,13.30%,9.70%,21.90M,1.27
AGNC,15.39,15.21,DOWN,4501364500,Real Estate,-1879.00M,-1698.00M,50,2.30,-,-,-,0.67,7.32,6.60,-3.57,43.20%,-12.20%,1.30%,-,551.30M,1.14
AGRX,111.6,19.62,DOWN,11273751,Health Care,-64.10M,6.70M,30,2.00,-,-,8.08,0.35,-,3.71,-21.55,0.60%,-,-,-,202.46M,1.23
AGTC,4.34,1.98,DOWN,27776542,Health Care,-68.90M,0.30M,102,3.00,-,-,94.83,0.73,-,0.62,-1.54,18.40%,-139.60%,-138.20%,-,67.63M,1.58
AGYS,37.12,44.28,UP,1611492713,Technology,8.30M,181.30M,1400,2.30,192.13,3842.59,8.82,14.41,85.55,0.00,0.32,99.80%,8.40%,6.50%,4.60%,24.65M,1.01
AHCO,35.8,23.49,DOWN,3039755845,Health Care,125.30M,2.79B,10700,1.40,24.33,1.75,1.06,1.39,149.84,1.03,0.91,77.20%,6.00%,4.00%,4.50%,134.33M,0.57
AHG,2.25,1.85,DOWN,32880133,Finance,-23.00M,0.60M,113,-,-,-,17.75,0.39,-,0.51,-1.39,2.40%,-72.00%,-115.00%,-,16.89M,1.03
AHPI,5.17,6,UP,5097192,Health Care,-5.40M,27.00M,146,-,-,-,0.18,0.95,-,2.04,-1.34,6.40%,-70.40%,-32.80%,-19.80%,4.01M,-2.61
AIHS,10.7,3.82,DOWN,38940554,Finance,-3.80M,6.90M,151,-,-,-,0.97,0.71,-,0.05,-0.58,0.60%,-,-134.50%,-,7.68M,0.52
AIKI,14.71,10.16,DOWN,33459086,Health Care,-14.60M,-,4,2.00,-,-,-,0.33,-,0.00,-2.77,8.50%,-15.10%,-,-,5.25M,1.06
AIMC,54.93,51.39,DOWN,3915817670,Industrials,17.00M,1.95B,9600,2.40,229.48,15.30,1.93,1.92,43.02,0.56,0.25,-,1.70%,3.50%,1.70%,65.10M,2.30
AIMD,3,13.2,UP,22205228,Health Care,-6.70M,1.10M,34,-,-,-,20.76,1.74,-,5.30,-0.64,-,-64.30%,-28.00%,-,9.62M,1.11
AIRG,17.09,10.86,DOWN,74374949,Technology,-11.90M,66.40M,145,2.40,-,-,1.16,1.79,-,0.00,-1.17,55.40%,-26.80%,-22.80%,-17.90%,10.22M,0.95
AIRT,25.05,25.34,UP,64494405,Consumer Discretionary,9.20M,191.00M,500,-,6.61,-,0.32,2.49,-,5.82,3.18,26.20%,40.60%,9.90%,4.80%,2.87M,1.24
AKAM,105.24,117.15,UP,13997766013,Consumer Discretionary,578.20M,3.57B,8700,2.50,23.92,1.99,3.75,3.14,12.40,0.55,3.52,96.10%,13.10%,11.10%,16.20%,160.04M,0.71
AKBA,2.93,2.29,DOWN,47157180,Health Care,-163.40M,296.80M,426,3.00,-,-,0.16,0.82,-,1.58,-0.94,33.30%,-216.40%,-152.50%,-55.00%,183.60M,1.33
AKRO,24.82,21.42,DOWN,1974139677,Health Care,-110.20M,-,37,1.80,-,-,-,9.18,-,0.06,-3.15,84.10%,-66.50%,-,-,46.42M,-0.91
AKTS,11.87,6.82,DOWN,191152769,Utilities,-59.00M,15.40M,205,1.70,-,-,11.56,1.74,-,0.00,-1.09,52.10%,-53.30%,-39.90%,-,56.55M,1.56
AKTX,1.81,1.38,DOWN,27229400,Health Care,-16.80M,-,9,2.00,-,-,-,1.88,-,0.00,-0.36,2.40%,-206.70%,-,-,74.45M,1.26
AKUS,19.43,8.37,DOWN,484324005,Health Care,-95.70M,-,103,2.40,-,-,-,2.43,-,0.00,-2.75,95.70%,-42.70%,-,-,36.93M,-
ALBO,36.98,23.63,DOWN,405390561,Health Care,-36.30M,51.20M,130,1.30,-,-,7.51,3.72,-,0.09,-1.89,98.50%,-23.40%,-,-70.80%,19.59M,0.79
ALDX,6.53,4.06,DOWN,326026218,Health Care,-66.10M,-,12,1.40,-,-,-,1.79,-,0.09,-1.14,68.20%,-33.50%,-,-,58.30M,1.28
ALEC,14.98,20.92,UP,764541908,Health Care,38.10M,300.70M,269,2.00,17.25,-,2.25,2.37,1.44,0.00,0.48,80.50%,12.20%,-12.40%,12.10%,82.39M,0.98
ALGM,25.52,36.07,UP,4878357596,Technology,119.40M,842.30M,4036,1.70,42.17,3.25,5.84,6.55,57.11,0.00,0.62,47.10%,16.80%,15.20%,14.20%,190.64M,-
ALGN,526.46,662.22,UP,15121744616,Health Care,510.80M,3.86B,22540,2.20,28.01,0.65,3.68,3.94,26.79,0.00,6.46,92.00%,19.60%,21.50%,18.30%,78.39M,1.68
ALGS,26.95,11.97,DOWN,44949806,Health Care,-126.40M,8.20M,89,3.00,-,-,5.16,0.31,-,0.00,-2.98,75.10%,-73.10%,-69.40%,-,42.67M,-
ALGT,174.74,188.99,UP,1362599177,Consumer Discretionary,45.70M,2.09B,5226,2.20,28.80,-,0.64,1.08,38.48,1.59,2.57,89.40%,3.80%,7.40%,2.20%,17.99M,1.53
ALIM,4.27,5.15,UP,37775489,Health Care,-17.40M,52.60M,145,2.00,-,-,0.71,-,-,-,-2.49,29.50%,70.20%,5.30%,-33.00%,7.00M,1.37
ALKS,19.74,23.35,UP,3724465686,Health Care,-94.20M,1.17B,2211,2.40,-,-,3.28,3.63,37.70,0.27,-0.58,99.80%,-8.60%,-2.90%,-8.00%,163.84M,0.60
ALLK,133.77,10.07,DOWN,499883872,Health Care,-403.20M,-,192,3.00,-,-,-,1.47,-,0.00,-7.39,80.50%,-111.00%,-,-,84.73M,0.40
ALLO,25.79,15.38,DOWN,1492714844,Health Care,-307.70M,0.20M,344,1.90,-,-,6544.07,1.67,-,0.00,-2.19,72.60%,-34.70%,-27.90%,-,143.38M,0.59
ALLT,10.38,11.95,UP,141149833,Telecommunications,-19.50M,143.80M,749,-,-,-,1.06,1.35,-,0.35,-0.53,74.60%,-15.90%,-12.20%,-13.50%,36.83M,0.96
ALNY,128.1,171.03,UP,25599407360,Health Care,-1182.10M,960.90M,1665,2.10,-,-,25.94,-,-,-,-9.77,98.10%,-430.70%,-56.10%,-,123.03M,0.54
ALOT,10.92,13.6,UP,87389686,Technology,-0.20M,121.80M,339,3.00,-,-,0.74,1.11,-,0.17,-0.03,46.50%,-0.20%,9.00%,-0.10%,7.31M,0.68
ALPN,13.45,13.88,UP,254798671,Health Care,-54.30M,32.00M,85,1.50,-,-,8.06,1.84,57.33,0.06,-1.91,79.20%,-47.30%,-38.60%,-,43.94M,1.39
ALPP,2.78,1.84,DOWN,144763906,Industrials,-12.30M,80.00M,480,2.00,-,-,1.79,2.13,-,0.52,-0.07,7.10%,-18.90%,-14.40%,-15.40%,183.20M,8.79
ALR,6.91,2.9,DOWN,29381083,Health Care,-39.50M,751.10M,6800,3.00,-,-,0.04,0.17,-,0.44,-1.25,24.30%,-22.30%,-13.60%,-5.30%,31.81M,0.88
ALRM,100.45,84.37,DOWN,2916740289,Technology,42.60M,805.90M,1500,2.10,69.62,8.60,3.44,4.95,69.11,0.87,0.80,93.50%,7.30%,6.40%,5.30%,49.93M,1.06
ALRN,1.05,0.54,DOWN,17801425,Health Care,-29.90M,-,9,2.50,-,-,-,0.80,-,0.00,-0.33,35.50%,-90.10%,-,-,90.97M,1.97
ALRS,26.54,29.11,UP,444916719,Finance,47.00M,92.40M,779,2.70,8.08,-,4.76,1.22,3.77,0.19,2.69,36.10%,13.90%,17.70%,50.80%,19.99M,0.70
ALT,12.71,8.93,DOWN,616002279,Health Care,-96.90M,3.50M,47,1.70,-,-,163.57,2.84,-,0.00,-2.24,82.50%,-49.20%,-48.70%,-,49.02M,0.43
ALTO,5.7,4.83,DOWN,308223975,Industrials,50.40M,1.36B,415,1.70,5.98,0.30,0.22,0.83,14.22,0.00,0.69,54.40%,14.90%,12.30%,3.70%,72.94M,2.46
ALTR,57.7,75.47,UP,3925360679,Technology,-31.80M,554.50M,2800,2.10,-,-,6.77,6.58,197.64,0.55,-0.42,99.70%,-5.30%,0.50%,-5.70%,78.95M,1.50
ALVO,10.53,9.87,DOWN,1544113426,Health Care,-12.00M,77.60M,805,2.80,-,-,20.18,-,-,-,-2.89,8.10%,-,-9.30%,-,248.65M,-
ALVR,39.65,13.52,DOWN,432418674,Health Care,-192.00M,-,107,1.70,-,-,-,3.15,-,0.00,-3.02,34.10%,-91.10%,-,-,64.47M,-
ALXO,80.82,21.93,DOWN,495891781,Health Care,-110.50M,-,52,2.00,-,-,-,1.63,-,0.00,-2.72,-,-31.40%,-,-,40.69M,-
AMAL,13.56,16.64,UP,709143645,Finance,72.60M,228.80M,375,2.00,10.27,-,2.98,1.48,50.58,0.17,2.33,52.50%,10.20%,24.20%,24.00%,30.82M,0.75
AMAT,86.87,157.98,UP,75819065395,Technology,6.65B,25.16B,27000,2.10,12.72,1.03,3.20,6.80,19.83,0.45,7.47,79.70%,55.60%,33.90%,26.40%,864.00M,1.49
AMBA,91.34,201.19,UP,2109464511,Technology,-42.90M,353.60M,899,2.10,-,-,5.88,3.63,43.44,0.00,-1.13,79.80%,-7.70%,-5.00%,-12.10%,38.26M,1.48
AMCX,35.6,35.68,UP,962455413,Consumer Discretionary,315.30M,3.06B,1739,3.30,2.57,-,0.25,0.83,-,2.95,7.23,91.60%,35.20%,10.00%,10.30%,43.19M,1.16
AMD,92.3,145.15,UP,97714478978,Technology,3.13B,21.58B,15500,2.00,26.53,1.04,4.75,1.85,30.95,0.05,2.38,68.40%,10.80%,40.10%,15.70%,1.62B,1.95
AMED,289.42,164.13,DOWN,3161795352,Health Care,120.90M,2.22B,21000,2.40,22.91,4.06,1.27,2.71,30.65,0.45,3.69,97.70%,12.40%,15.50%,5.40%,32.48M,0.99
AMEH,19.25,72.87,UP,1603116116,Health Care,73.70M,955.20M,1133,2.00,22.49,2.10,2.14,3.37,108.28,0.42,1.60,33.10%,16.00%,11.70%,7.70%,44.86M,0.75
AMGN,226.66,226.47,DOWN,144126418916,Health Care,6.58B,26.38B,24200,2.70,23.47,3.06,5.58,61.29,34.66,15.10,11.80,79.90%,144.10%,17.10%,24.90%,535.00M,0.64
AMKR,14.91,24.6,UP,5084062960,Technology,818.00M,6.91B,30400,2.20,6.51,0.87,0.78,1.66,22.48,0.36,3.33,39.70%,23.20%,16.90%,10.00%,244.59M,1.56
AMNB,26.11,38.01,UP,392099400,Finance,37.70M,93.20M,327,2.00,10.72,2.68,4.25,1.23,9.77,0.09,3.52,41.50%,12.10%,21.30%,44.20%,10.69M,0.98
AMOT,32.91,35.27,UP,542142396,Industrials,14.60M,437.80M,1950,2.00,33.78,1.13,1.21,2.49,-,1.14,0.97,60.40%,7.80%,7.80%,3.30%,15.36M,1.53
AMPG,4.62,3.91,DOWN,22725887,Technology,-3.80M,13.50M,34,2.00,-,-,1.73,0.77,-,0.03,-0.40,7.50%,-12.80%,-16.60%,-28.00%,9.59M,1.18
AMPH,20.14,23.14,UP,1521676015,Health Care,90.90M,476.90M,1761,2.30,16.93,0.68,3.06,2.95,20.71,0.15,1.78,62.60%,19.60%,12.00%,19.10%,48.86M,0.74
AMRK,13.34,30.36,UP,703601120,Finance,132.50M,8.16B,384,2.00,5.03,-,0.08,1.29,-,1.33,5.44,52.40%,31.10%,11.70%,1.60%,23.08M,-0.20
AMRN,5.03,3.35,DOWN,501990865,Health Care,-92.00M,423.40M,560,3.00,-,-,1.19,0.90,-,0.00,-0.23,35.30%,-14.90%,1.00%,-21.70%,404.61M,1.82
AMRS,7.02,5.44,DOWN,925849883,Industrials,-212.70M,235.60M,980,-,-,-,3.39,-,-,-,-0.68,45.90%,309.90%,-30.40%,-90.30%,319.92M,1.22
AMSC,23.36,10.97,DOWN,127976433,Industrials,-22.50M,105.70M,326,1.70,-,-,0.98,1.03,-,0.00,-0.82,50.00%,-17.40%,-17.60%,-18.20%,27.56M,1.40
AMSF,57.39,53.72,DOWN,1128884189,Finance,38.40M,293.40M,371,2.70,28.57,2.86,3.70,2.91,-,0.00,1.98,98.80%,9.90%,16.50%,13.10%,19.20M,0.34
AMST,4.51,1.03,DOWN,7426605,Technology,-9.10M,0.70M,14,2.00,-,-,11.26,0.89,-,0.00,-0.39,2.80%,-94.40%,-111.80%,-,27.60M,-
AMSWA,17.1,26.09,UP,577897548,Technology,12.00M,129.60M,406,1.50,47.01,2.94,4.43,4.17,75.53,0.00,0.35,76.40%,9.10%,9.10%,9.20%,33.66M,0.88
AMTB,15.06,33.9,UP,1013872935,Finance,110.00M,290.30M,763,2.00,9.77,-,3.44,1.44,-,0.22,3.07,39.00%,14.70%,19.60%,37.90%,33.48M,1.26
AMTI,31.32,13.23,DOWN,32676525,Health Care,-134.70M,-,125,1.70,-,-,-,0.37,-,0.01,-3.49,61.90%,-93.40%,-,-,38.75M,-
AMTX,2.84,12.43,UP,258344026,Energy,-37.00M,232.20M,158,2.20,-,-,1.03,-,-,-,-1.13,62.80%,29.40%,-12.30%,-15.90%,34.54M,0.83
AMWD,92.79,64.26,DOWN,755960692,Consumer Discretionary,-12.60M,1.96B,10000,2.80,-,-,0.37,0.94,36.84,0.62,-0.77,93.60%,-1.70%,-1.50%,-0.60%,16.58M,1.78
AMYT,13.66,10.55,DOWN,437526452,Health Care,2.80M,239.00M,241,1.60,-,-,2.64,1.31,-,0.62,-0.09,74.60%,0.80%,-5.50%,1.20%,64.16M,-
