"Symbol","Start","End","Label","Market.Cap","Sector","Income","Sales","Employees","Recom.Analyst.Rating..1.buy.5.sell.","price.to.earnings","Price.Earnings.to.Growth","Price.to.Sales.Ratio","Price.to.Book","Price.to.free.cash.flow","debt.to.equity","EPS..ttm.","Inst.Own","ROE","ROI","Profit.Margin","Shs.Outstand","Beta"
"ACRS",6.48,14.33,"UP",1056413879,"Health Care",-83300000,6100000,75,"1.40",NA,NA,161.64,4.25,NA,0,-1.33,0.962,-0.401,-0.455,NA,65990000,0.56
"ACRX",25,9.81,"DOWN",18895324,"Health Care",45700000,2900000,43,"2.50",0.34,NA,5.25,0.43,NA,0.3,5.76,0.118,-2.175,1.628,NA,7360000,0.28
"ACST",3.16,1.25,"DOWN",25873875,"Health Care",-15300000,NA,32,"1.00",NA,NA,NA,0.18,NA,0,-0.36,0.0026,-0.103,NA,NA,44330000,1.4
"ACTG",3.8,5.21,"UP",159736650,"Miscellaneous",112300000,95100000,287,"-",NA,NA,1.52,0.71,96.45,0.48,-1.2,0.622,0.368,-0.016,NA,43990000,0.4
"ADAP",6.01,3.87,"DOWN",231986077,"Health Care",-1.76e+08,11700000,494,"2.70",NA,NA,21.88,1.82,NA,0,-1.12,0.706,-0.936,-0.791,NA,163370000,2.02
"ADBE",485.34,570.53,"UP",147979994500,"Technology",4.81e+09,1.719e+10,25988,"2.20",28.18,2.14,7.79,9.32,18.78,0.29,10.14,0.841,0.338,0.26,0.28,4.69e+08,1.25
"ADEA",5.38,5.01,"DOWN",1166236786,"Technology",-37300000,925300000,2250,"1.70",NA,NA,1.22,0.85,5.63,0.55,-0.36,0.945,-0.03,-0.009,-0.044,1.04e+08,1.72
"ADES",5.37,6.47,"UP",55106237,"Industrials",26700000,110700000,139,"2.00",1.94,0.04,0.49,0.36,6.39,0.04,1.44,0.384,0.185,-0.05,0.241,19130000,0.7
"ADI",146.02,174.78,"UP",73401679889,"Technology",1.89e+09,1.111e+10,24700,"2.00",39.96,2.72,6.59,2.04,33.01,0.17,3.61,0.883,0.051,0.034,0.17,517010000,1.11
"ADIL",1.73,2.67,"UP",7967571,"Health Care",-16900000,NA,16,"2.30",NA,NA,NA,0.93,NA,0,-0.78,0.061,-2.302,NA,NA,24320000,0.55
"ADMA",2.11,1.32,"DOWN",553727160,"Health Care",-73100000,110100000,527,"1.70",NA,NA,4.68,4.43,NA,1.22,-0.42,0.761,-0.603,-0.247,-0.664,196350000,1
"ADMP",0.54,0.58,"UP",21147640,"Health Care",-31600000,7e+05,15,"3.00",NA,NA,30.17,2.8,NA,0,-0.2,0.087,NA,-1.045,NA,149820000,1.06
"ADN",14.88,7.08,"DOWN",45883777,"Utilities",-35500000,8100000,200,"1.50",NA,NA,13.26,0.9,NA,0,-0.7,0.265,-0.277,-0.331,NA,51630000,-0.16
"ADP",168.96,245.56,"UP",100005072000,"Consumer Discretionary",3.03e+09,1.688e+10,60000,"3.00",32.81,2.19,5.78,30.52,92.16,0.93,7.22,0.809,0.642,0.471,0.17,415800000,0.83
"ADPT",55.83,28.33,"DOWN",1112980577,"Health Care",-232100000,159700000,858,"2.20",NA,NA,7.36,2.44,NA,0,-1.64,0.871,-0.399,-0.346,NA,142360000,1.05
"ADSK",296.84,281.71,"DOWN",46245642444,"Technology",557800000,4.74e+09,12600,"2.10",76.35,3.27,8.82,56.8,25.5,3.55,2.54,0.93,0.629,0.158,0.118,2.17e+08,1.49
"ADTN",14.73,22.92,"UP",1745436898,"Telecommunications",-13600000,618800000,1335,"2.10",NA,NA,2.54,2.89,NA,0,-0.28,0.778,-0.038,-0.048,-0.022,77420000,1.4
"ADTX",105,27.92,"DOWN",11055704,"Health Care",-45700000,5e+05,58,"3.00",NA,NA,5.04,1.38,NA,0.64,-80.66,0.353,-6.255,-4.04,NA,4160000,NA
"ADUS",116.26,93.37,"DOWN",1631993402,"Health Care",44400000,904900000,5416,"1.20",39.6,2.64,1.83,2.89,28.04,0,2.76,NA,0.077,0.064,0.049,15850000,0.77
"ADV",13.33,7.7,"DOWN",1079726289,"Consumer Discretionary",70800000,3.86e+09,20000,"3.00",15.14,1.05,0.27,0.42,17.43,0.83,0.22,0.294,0.028,0.043,0.018,318420000,NA
"ADVM",11.98,1.79,"DOWN",86420213,"Health Care",-154400000,0,188,"2.50",NA,NA,NA,0.32,NA,0,-1.57,0.698,-0.519,-0.462,NA,9.9e+07,1.08
"ADXN",14.11,6.31,"DOWN",6986241,"Health Care",NA,1590000,26,"-",NA,NA,8.81,0.69,NA,NA,-3.26,0.1592,NA,NA,NA,8210000,NA
"AEHL",2.43,1.62,"DOWN",3305655,"Consumer Discretionary",-6500000,41200000,236,"-",NA,NA,0.09,1.17,18.74,1.48,-1.08,0.068,-0.793,-0.92,-0.157,6010000,0.91
"AEHR",2.42,23.38,"UP",568466485,"Industrials",9300000,55900000,91,"1.50",59.75,2.99,10.25,10.31,121.85,0,0.33,0.329,0.199,0.184,0.167,27240000,1.65
"AEI",5.89,0.61,"DOWN",29998452,"Real Estate",-45900000,10500000,32,"2.50",NA,NA,2.81,0.15,NA,0,-0.77,0.03,-0.299,-0.104,NA,122890000,NA
"AEIS",97.99,92.28,"DOWN",2944260977,"Consumer Discretionary",142500000,1.58e+09,10000,"2.30",22.06,2.21,1.93,3.14,36.65,0.38,3.76,NA,0.214,0.111,0.125,37380000,1.53
"AEMD",2.52,1.93,"DOWN",11364513,"Miscellaneous",-11200000,2e+05,14,"2.00",NA,NA,55.79,0.53,NA,0,-0.73,0.043,-0.591,-0.609,NA,22900000,0.9
"AEP",81.54,88.69,"UP",44942517278,"Utilities",2.46e+09,1.882e+10,16688,"2.20",18.58,2.98,2.43,1.89,11.85,1.55,4.82,0.757,0.104,0.056,0.131,513730000,0.41
"AESE",1.46,1.74,"UP",47293419,"Telecommunications",-14200000,7200000,88,"3.00",NA,NA,6.45,0.53,NA,0,-0.36,0.209,0.634,NA,NA,39120000,1.07
"AEY",2.85,1.72,"DOWN",27805007,"Consumer Discretionary",-1900000,9e+07,169,"-",NA,NA,0.3,2.72,9.37,0.21,-0.15,0.033,-0.204,-0.437,-0.021,13190000,0.55
"AEYE",24.87,6.74,"DOWN",63420679,"Technology",-15900000,27200000,111,"2.00",NA,NA,2.17,4.78,NA,0.15,-1.39,0.187,-0.96,-0.802,-0.585,11490000,1.28
"AEZS",12.87,9.19,"DOWN",19928030,"Health Care",-11700000,5400000,17,"-",NA,NA,3.59,0.36,NA,0,-1.79,0.214,-0.213,-0.161,NA,4860000,1.34
"AFBI",9.71,15.26,"UP",96853699,"Finance",6800000,31500000,90,"-",14.74,NA,3.08,0.83,15.9,0,0.99,0.15,0.061,0.214,0.23,6590000,0.45
"AFIB",30.15,3.58,"DOWN",20994056,"Health Care",-94100000,16700000,338,"2.70",NA,NA,1.55,0.34,NA,0.47,-3.28,0.455,-0.978,-0.757,NA,28340000,NA
"AFMD",6.06,5.69,"DOWN",262837230,"Health Care",-75400000,33900000,187,"1.90",NA,NA,8.21,1.51,NA,0.1,-0.59,0.685,-0.526,-0.414,NA,147330000,2.17
"AFYA",24.51,15.96,"DOWN",1320268495,"Real Estate",63500000,408800000,8079,"2.10",22.59,3.6,3.61,2.41,12.55,0.72,0.69,0.56,0.11,0.08,0.155,90480000,NA
"AGEN",3.23,3.37,"UP",713570513,"Health Care",18100000,320100000,441,"1.50",21.59,NA,2.16,244,NA,4.03,0.11,0.532,0.757,NA,0.056,277030000,1.3
"AGIL",10.15,4.97,"DOWN",216870161,"Technology",-26500000,172900000,2630,"1.70",NA,NA,1.15,2.19,NA,0.86,-0.64,0.52,-0.305,-0.008,-0.153,46040000,NA
"AGIO",44.3,33.57,"DOWN",1511881791,"Health Care",-369400000,6400000,390,"2.40",NA,NA,215.33,1.26,NA,0,-6.71,NA,-0.295,NA,NA,54800000,0.99
"AGLE",8.56,4.55,"DOWN",61784235,"Health Care",-87500000,7e+06,92,"2.20",NA,NA,9,1.09,NA,0,-1.26,0.865,-1.055,-0.78,NA,82210000,1.91
"AGMH",15.77,2.5,"DOWN",47670241,"Technology",3600000,36700000,22,"-",10.06,NA,1.02,1.42,NA,0.06,0.16,0.035,0.404,0.133,0.097,21900000,1.27
"AGNC",15.39,15.21,"DOWN",4501364500,"Real Estate",-1.879e+09,-1.698e+09,50,"2.30",NA,NA,NA,0.67,7.32,6.6,-3.57,0.432,-0.122,0.013,NA,551300000,1.14
"AGRX",111.6,19.62,"DOWN",11273751,"Health Care",-64100000,6700000,30,"2.00",NA,NA,8.08,0.35,NA,3.71,-21.55,0.006,NA,NA,NA,202460000,1.23
"AGTC",4.34,1.98,"DOWN",27776542,"Health Care",-68900000,3e+05,102,"3.00",NA,NA,94.83,0.73,NA,0.62,-1.54,0.184,-1.396,-1.382,NA,67630000,1.58
"AGYS",37.12,44.28,"UP",1611492713,"Technology",8300000,181300000,1400,"2.30",192.13,3842.59,8.82,14.41,85.55,0,0.32,0.998,0.084,0.065,0.046,24650000,1.01
"AHCO",35.8,23.49,"DOWN",3039755845,"Health Care",125300000,2.79e+09,10700,"1.40",24.33,1.75,1.06,1.39,149.84,1.03,0.91,0.772,0.06,0.04,0.045,134330000,0.57
"AHG",2.25,1.85,"DOWN",32880133,"Finance",-2.3e+07,6e+05,113,"-",NA,NA,17.75,0.39,NA,0.51,-1.39,0.024,-0.72,-1.15,NA,16890000,1.03
"AHPI",5.17,6,"UP",5097192,"Health Care",-5400000,2.7e+07,146,"-",NA,NA,0.18,0.95,NA,2.04,-1.34,0.064,-0.704,-0.328,-0.198,4010000,-2.61
"AIHS",10.7,3.82,"DOWN",38940554,"Finance",-3800000,6900000,151,"-",NA,NA,0.97,0.71,NA,0.05,-0.58,0.006,NA,-1.345,NA,7680000,0.52
"AIKI",14.71,10.16,"DOWN",33459086,"Health Care",-14600000,NA,4,"2.00",NA,NA,NA,0.33,NA,0,-2.77,0.085,-0.151,NA,NA,5250000,1.06
"AIMC",54.93,51.39,"DOWN",3915817670,"Industrials",1.7e+07,1.95e+09,9600,"2.40",229.48,15.3,1.93,1.92,43.02,0.56,0.25,NA,0.017,0.035,0.017,65100000,2.3
"AIMD",3,13.2,"UP",22205228,"Health Care",-6700000,1100000,34,"-",NA,NA,20.76,1.74,NA,5.3,-0.64,NA,-0.643,-0.28,NA,9620000,1.11
"AIRG",17.09,10.86,"DOWN",74374949,"Technology",-11900000,66400000,145,"2.40",NA,NA,1.16,1.79,NA,0,-1.17,0.554,-0.268,-0.228,-0.179,10220000,0.95
"AIRT",25.05,25.34,"UP",64494405,"Consumer Discretionary",9200000,1.91e+08,500,"-",6.61,NA,0.32,2.49,NA,5.82,3.18,0.262,0.406,0.099,0.048,2870000,1.24
"AKAM",105.24,117.15,"UP",13997766013,"Consumer Discretionary",578200000,3.57e+09,8700,"2.50",23.92,1.99,3.75,3.14,12.4,0.55,3.52,0.961,0.131,0.111,0.162,160040000,0.71
"AKBA",2.93,2.29,"DOWN",47157180,"Health Care",-163400000,296800000,426,"3.00",NA,NA,0.16,0.82,NA,1.58,-0.94,0.333,-2.164,-1.525,-0.55,183600000,1.33
"AKRO",24.82,21.42,"DOWN",1974139677,"Health Care",-110200000,NA,37,"1.80",NA,NA,NA,9.18,NA,0.06,-3.15,0.841,-0.665,NA,NA,46420000,-0.91
"AKTS",11.87,6.82,"DOWN",191152769,"Utilities",-5.9e+07,15400000,205,"1.70",NA,NA,11.56,1.74,NA,0,-1.09,0.521,-0.533,-0.399,NA,56550000,1.56
"AKTX",1.81,1.38,"DOWN",27229400,"Health Care",-16800000,NA,9,"2.00",NA,NA,NA,1.88,NA,0,-0.36,0.024,-2.067,NA,NA,74450000,1.26
"AKUS",19.43,8.37,"DOWN",484324005,"Health Care",-95700000,NA,103,"2.40",NA,NA,NA,2.43,NA,0,-2.75,0.957,-0.427,NA,NA,36930000,NA
"ALBO",36.98,23.63,"DOWN",405390561,"Health Care",-36300000,51200000,130,"1.30",NA,NA,7.51,3.72,NA,0.09,-1.89,0.985,-0.234,NA,-0.708,19590000,0.79
"ALDX",6.53,4.06,"DOWN",326026218,"Health Care",-66100000,NA,12,"1.40",NA,NA,NA,1.79,NA,0.09,-1.14,0.682,-0.335,NA,NA,58300000,1.28
"ALEC",14.98,20.92,"UP",764541908,"Health Care",38100000,300700000,269,"2.00",17.25,NA,2.25,2.37,1.44,0,0.48,0.805,0.122,-0.124,0.121,82390000,0.98
"ALGM",25.52,36.07,"UP",4878357596,"Technology",119400000,842300000,4036,"1.70",42.17,3.25,5.84,6.55,57.11,0,0.62,0.471,0.168,0.152,0.142,190640000,NA
"ALGN",526.46,662.22,"UP",15121744616,"Health Care",510800000,3.86e+09,22540,"2.20",28.01,0.65,3.68,3.94,26.79,0,6.46,0.92,0.196,0.215,0.183,78390000,1.68
"ALGS",26.95,11.97,"DOWN",44949806,"Health Care",-126400000,8200000,89,"3.00",NA,NA,5.16,0.31,NA,0,-2.98,0.751,-0.731,-0.694,NA,42670000,NA
"ALGT",174.74,188.99,"UP",1362599177,"Consumer Discretionary",45700000,2.09e+09,5226,"2.20",28.8,NA,0.64,1.08,38.48,1.59,2.57,0.894,0.038,0.074,0.022,17990000,1.53
"ALIM",4.27,5.15,"UP",37775489,"Health Care",-17400000,52600000,145,"2.00",NA,NA,0.71,NA,NA,NA,-2.49,0.295,0.702,0.053,-0.33,7e+06,1.37
"ALKS",19.74,23.35,"UP",3724465686,"Health Care",-94200000,1.17e+09,2211,"2.40",NA,NA,3.28,3.63,37.7,0.27,-0.58,0.998,-0.086,-0.029,-0.08,163840000,0.6
"ALLK",133.77,10.07,"DOWN",499883872,"Health Care",-403200000,NA,192,"3.00",NA,NA,NA,1.47,NA,0,-7.39,0.805,-1.11,NA,NA,84730000,0.4
"ALLO",25.79,15.38,"DOWN",1492714844,"Health Care",-307700000,2e+05,344,"1.90",NA,NA,6544.07,1.67,NA,0,-2.19,0.726,-0.347,-0.279,NA,143380000,0.59
"ALLT",10.38,11.95,"UP",141149833,"Telecommunications",-19500000,143800000,749,"-",NA,NA,1.06,1.35,NA,0.35,-0.53,0.746,-0.159,-0.122,-0.135,36830000,0.96
"ALNY",128.1,171.03,"UP",25599407360,"Health Care",-1182100000,960900000,1665,"2.10",NA,NA,25.94,NA,NA,NA,-9.77,0.981,-4.307,-0.561,NA,123030000,0.54
"ALOT",10.92,13.6,"UP",87389686,"Technology",-2e+05,121800000,339,"3.00",NA,NA,0.74,1.11,NA,0.17,-0.03,0.465,-0.002,0.09,-0.001,7310000,0.68
"ALPN",13.45,13.88,"UP",254798671,"Health Care",-54300000,3.2e+07,85,"1.50",NA,NA,8.06,1.84,57.33,0.06,-1.91,0.792,-0.473,-0.386,NA,43940000,1.39
"ALPP",2.78,1.84,"DOWN",144763906,"Industrials",-12300000,8e+07,480,"2.00",NA,NA,1.79,2.13,NA,0.52,-0.07,0.071,-0.189,-0.144,-0.154,183200000,8.79
"ALR",6.91,2.9,"DOWN",29381083,"Health Care",-39500000,751100000,6800,"3.00",NA,NA,0.04,0.17,NA,0.44,-1.25,0.243,-0.223,-0.136,-0.053,31810000,0.88
"ALRM",100.45,84.37,"DOWN",2916740289,"Technology",42600000,805900000,1500,"2.10",69.62,8.6,3.44,4.95,69.11,0.87,0.8,0.935,0.073,0.064,0.053,49930000,1.06
"ALRN",1.05,0.54,"DOWN",17801425,"Health Care",-29900000,NA,9,"2.50",NA,NA,NA,0.8,NA,0,-0.33,0.355,-0.901,NA,NA,90970000,1.97
"ALRS",26.54,29.11,"UP",444916719,"Finance",4.7e+07,92400000,779,"2.70",8.08,NA,4.76,1.22,3.77,0.19,2.69,0.361,0.139,0.177,0.508,19990000,0.7
"ALT",12.71,8.93,"DOWN",616002279,"Health Care",-96900000,3500000,47,"1.70",NA,NA,163.57,2.84,NA,0,-2.24,0.825,-0.492,-0.487,NA,49020000,0.43
"ALTO",5.7,4.83,"DOWN",308223975,"Industrials",50400000,1.36e+09,415,"1.70",5.98,0.3,0.22,0.83,14.22,0,0.69,0.544,0.149,0.123,0.037,72940000,2.46
"ALTR",57.7,75.47,"UP",3925360679,"Technology",-31800000,554500000,2800,"2.10",NA,NA,6.77,6.58,197.64,0.55,-0.42,0.997,-0.053,0.005,-0.057,78950000,1.5
"ALVO",10.53,9.87,"DOWN",1544113426,"Health Care",-1.2e+07,77600000,805,"2.80",NA,NA,20.18,NA,NA,NA,-2.89,0.081,NA,-0.093,NA,248650000,NA
"ALVR",39.65,13.52,"DOWN",432418674,"Health Care",-1.92e+08,NA,107,"1.70",NA,NA,NA,3.15,NA,0,-3.02,0.341,-0.911,NA,NA,64470000,NA
"ALXO",80.82,21.93,"DOWN",495891781,"Health Care",-110500000,NA,52,"2.00",NA,NA,NA,1.63,NA,0,-2.72,NA,-0.314,NA,NA,40690000,NA
"AMAL",13.56,16.64,"UP",709143645,"Finance",72600000,228800000,375,"2.00",10.27,NA,2.98,1.48,50.58,0.17,2.33,0.525,0.102,0.242,0.24,30820000,0.75
"AMAT",86.87,157.98,"UP",75819065395,"Technology",6.65e+09,2.516e+10,27000,"2.10",12.72,1.03,3.2,6.8,19.83,0.45,7.47,0.797,0.556,0.339,0.264,8.64e+08,1.49
"AMBA",91.34,201.19,"UP",2109464511,"Technology",-42900000,353600000,899,"2.10",NA,NA,5.88,3.63,43.44,0,-1.13,0.798,-0.077,-0.05,-0.121,38260000,1.48
"AMCX",35.6,35.68,"UP",962455413,"Consumer Discretionary",315300000,3.06e+09,1739,"3.30",2.57,NA,0.25,0.83,NA,2.95,7.23,0.916,0.352,0.1,0.103,43190000,1.16
"AMD",92.3,145.15,"UP",97714478978,"Technology",3.13e+09,2.158e+10,15500,"2.00",26.53,1.04,4.75,1.85,30.95,0.05,2.38,0.684,0.108,0.401,0.157,1.62e+09,1.95
"AMED",289.42,164.13,"DOWN",3161795352,"Health Care",120900000,2.22e+09,21000,"2.40",22.91,4.06,1.27,2.71,30.65,0.45,3.69,0.977,0.124,0.155,0.054,32480000,0.99
"AMEH",19.25,72.87,"UP",1603116116,"Health Care",73700000,955200000,1133,"2.00",22.49,2.1,2.14,3.37,108.28,0.42,1.6,0.331,0.16,0.117,0.077,44860000,0.75
"AMGN",226.66,226.47,"DOWN",144126418916,"Health Care",6.58e+09,2.638e+10,24200,"2.70",23.47,3.06,5.58,61.29,34.66,15.1,11.8,0.799,1.441,0.171,0.249,5.35e+08,0.64
"AMKR",14.91,24.6,"UP",5084062960,"Technology",8.18e+08,6.91e+09,30400,"2.20",6.51,0.87,0.78,1.66,22.48,0.36,3.33,0.397,0.232,0.169,0.1,244590000,1.56
"AMNB",26.11,38.01,"UP",392099400,"Finance",37700000,93200000,327,"2.00",10.72,2.68,4.25,1.23,9.77,0.09,3.52,0.415,0.121,0.213,0.442,10690000,0.98
"AMOT",32.91,35.27,"UP",542142396,"Industrials",14600000,437800000,1950,"2.00",33.78,1.13,1.21,2.49,NA,1.14,0.97,0.604,0.078,0.078,0.033,15360000,1.53
"AMPG",4.62,3.91,"DOWN",22725887,"Technology",-3800000,13500000,34,"2.00",NA,NA,1.73,0.77,NA,0.03,-0.4,0.075,-0.128,-0.166,-0.28,9590000,1.18
"AMPH",20.14,23.14,"UP",1521676015,"Health Care",90900000,476900000,1761,"2.30",16.93,0.68,3.06,2.95,20.71,0.15,1.78,0.626,0.196,0.12,0.191,48860000,0.74
"AMRK",13.34,30.36,"UP",703601120,"Finance",132500000,8.16e+09,384,"2.00",5.03,NA,0.08,1.29,NA,1.33,5.44,0.524,0.311,0.117,0.016,23080000,-0.2
"AMRN",5.03,3.35,"DOWN",501990865,"Health Care",-9.2e+07,423400000,560,"3.00",NA,NA,1.19,0.9,NA,0,-0.23,0.353,-0.149,0.01,-0.217,404610000,1.82
"AMRS",7.02,5.44,"DOWN",925849883,"Industrials",-212700000,235600000,980,"-",NA,NA,3.39,NA,NA,NA,-0.68,0.459,3.099,-0.304,-0.903,319920000,1.22
"AMSC",23.36,10.97,"DOWN",127976433,"Industrials",-22500000,105700000,326,"1.70",NA,NA,0.98,1.03,NA,0,-0.82,0.5,-0.174,-0.176,-0.182,27560000,1.4
"AMSF",57.39,53.72,"DOWN",1128884189,"Finance",38400000,293400000,371,"2.70",28.57,2.86,3.7,2.91,NA,0,1.98,0.988,0.099,0.165,0.131,19200000,0.34
"AMST",4.51,1.03,"DOWN",7426605,"Technology",-9100000,7e+05,14,"2.00",NA,NA,11.26,0.89,NA,0,-0.39,0.028,-0.944,-1.118,NA,27600000,NA
"AMSWA",17.1,26.09,"UP",577897548,"Technology",1.2e+07,129600000,406,"1.50",47.01,2.94,4.43,4.17,75.53,0,0.35,0.764,0.091,0.091,0.092,33660000,0.88
"AMTB",15.06,33.9,"UP",1013872935,"Finance",1.1e+08,290300000,763,"2.00",9.77,NA,3.44,1.44,NA,0.22,3.07,0.39,0.147,0.196,0.379,33480000,1.26
"AMTI",31.32,13.23,"DOWN",32676525,"Health Care",-134700000,NA,125,"1.70",NA,NA,NA,0.37,NA,0.01,-3.49,0.619,-0.934,NA,NA,38750000,NA
"AMTX",2.84,12.43,"UP",258344026,"Energy",-3.7e+07,232200000,158,"2.20",NA,NA,1.03,NA,NA,NA,-1.13,0.628,0.294,-0.123,-0.159,34540000,0.83
