"Symbol","Start","End","Label","Market.Cap","Sector","Income","Sales","Employees","Analyst.Rating..1.buy.5.sell.","price.to.earnings","Price.Earnings.to.Growth","Price.to.Sales.Ratio","Price.to.Book","Price.to.free.cash.flow","debt.to.equity","EPS..ttm.","Inst.Own","ROE","ROI","Profit.Margin","Shs.Outstand","Beta"
"JHX",29.68,40.82,"UP",9866522154,"Industrials",500800000,3.77e+09,5196,2,19.01,1.27,2.44,7.16,56.05,0.65,1.12,0.012,0.381,0.225,0.133,445400000,1.34
"JILL",3.46,19.12,"UP",208145817,"Consumer Discretionary",4.7e+07,614300000,1115,3,5,0,0.38,0,3.09,0,4.66,0.722,-1.387,0.307,0.077,10150000,1.3
"JKS",64.07,46.91,"DOWN",2356807346,"Technology",26700000,9.52e+09,31030,2.7,132.09,1.82,0.26,1.16,0,3.72,0.37,0.555,-0.001,0.019,0,50120000,0.64
"JLL",142.33,271.83,"UP",7643346106,"Finance",998100000,2.091e+10,98000,2.1,7.54,0.84,0.33,1.21,14.23,0.47,19.47,0.989,0.165,0.098,0.048,48720000,1.26
"JMIA",35.68,11.87,"DOWN",495390223,"Consumer Discretionary",-289200000,209600000,4484,0,0,0,2,1.44,0,0.06,-2.88,0.212,-0.758,-0.567,0,99880000,2.46
"JNJ",156.5,172.31,"UP",454501830241,"Health Care",1.916e+10,9.604e+10,141700,2.4,24.08,6.17,4.73,6.09,73.08,0.43,7.18,0.711,0.256,0.194,0.199,2.63e+09,0.57
"JNPR",22.61,35.38,"UP",9870236551,"Technology",423500000,5.15e+09,10191,2.7,23.24,1.46,1.86,2.22,0,0,1.28,0.942,0.099,0.045,0.082,322800000,0.92
"JOBY",11.59,7.38,"DOWN",2885949701,"Consumer Discretionary",-185700000,0,1124,2.7,0,0,0,2.05,0,0,-0.39,0.291,-0.145,0,0,581270000,0
"JOE",41.61,51.36,"UP",2086078946,"Real Estate",74700000,290200000,528,0,27.8,0,6.96,3.37,40.46,0.81,1.27,0.922,0.121,0.074,0.258,58810000,1.24
"JPM",125.87,158.48,"UP",370903140000,"Finance",3.522e+10,7.477e+10,278494,2.3,11.09,94.79,5.07,1.54,5.53,1.14,11.85,0.704,0.159,0.063,0.542,2.96e+09,1.12
"JT",2.82,1.03,"DOWN",31352134,"Technology",-27500000,127900000,708,2,0,0,0.27,0.58,0,0.54,-1.3,0.158,-0.403,-0.377,-0.215,21180000,0.42
"JWN",30.33,22.95,"DOWN",3232765666,"Consumer Discretionary",4.1e+08,1.579e+10,60000,3.1,7.98,0.28,0.2,4.72,0,0,2.44,0.61,0.748,0.123,0.026,160600000,2.18
"K",61.45,63.93,"UP",26093476648,"Consumer Staples",1.49e+09,1.458e+10,31000,3.1,16.45,7.16,1.68,5.92,48.06,1.72,4.33,0.862,0.395,0.118,0.102,3.39e+08,0.47
"KAI",137.97,228.81,"UP",2069888380,"Technology",1.12e+08,866400000,2900,2.2,18.52,2.32,2.38,3.43,18.52,0.38,9.59,0.983,0.194,0.107,0.129,11660000,1.15
"KAMN",55.23,43,"DOWN",912000325,"Industrials",31900000,673800000,2846,3,18.18,1.82,0.86,0.76,26.07,0,1.14,0.922,0,0.034,0,28040000,1.18
"KB",39.13,46.25,"UP",12979473131,"Finance",3.23e+09,1.185e+10,24663,1,4.25,0.87,1.2,0.41,0,2.64,8.1,0.06,0.096,0.053,0.266,389630000,0.9
"KBR",29.75,46.99,"UP",6792584803,"Industrials",1.65e+08,7.46e+09,28000,1.8,49.71,4.12,0.94,4.52,31.02,1.11,1.02,0,0.103,0.034,0.022,1.39e+08,1.27
"KEN",29.38,51.11,"UP",2075628475,"Utilities",1.48e+09,534800000,6159,0,1.37,0,3.74,0.95,7.75,0.55,27.5,0.243,0.746,0.006,0,53860000,1.64
"KEP",12.16,9.15,"DOWN",7536658264,"Industrials",-10867300000,4.487e+10,48809,4,0,0,0.17,0.21,0,1.93,-8.46,0.015,-0.255,-0.027,-0.242,1.28e+09,0.67
"KEX",51.52,59.02,"UP",4193599000,"Consumer Discretionary",95900000,2.65e+09,5125,1.3,43.46,13.58,1.56,1.42,0,0.39,1.59,0.968,0,-0.053,0,60200000,1.28
"KEY",16.29,23.19,"UP",16722913650,"Finance",2.04e+09,4.82e+09,17262,2.7,8.4,11.66,3.51,1.35,11.69,1.33,2.18,0.861,0.164,0.14,0.487,932970000,1.29
"KEYS",131.18,206.8,"UP",31223193503,"Industrials",1.11e+09,5.27e+09,14700,2,27.12,2.02,5.55,7.47,32.02,0.46,6.03,0.881,0.29,0.173,0.21,1.79e+08,1.06
"KFY",42.43,75.67,"UP",2981800655,"Consumer Discretionary",321500000,2.76e+09,10779,1.4,8.82,0.59,1.04,1.78,0,0.26,6.09,0.981,0,0.189,0,53380000,1.49
"KIM",14.33,24.52,"UP",13225823129,"Real Estate",233300000,1.71e+09,606,2.1,57,0,7.71,1.36,51.82,0.74,0.38,0.975,0.024,0.022,0.136,615830000,1.41
"KKR",39.65,74.77,"UP",42183428763,"Finance",737200000,1.043e+10,3238,1.9,42.96,9.96,4.26,1.99,0,2.19,1.22,0.553,0.175,0.063,0.273,859830000,1.55
"KLR",9.32,9.76,"UP",38799186,"Technology",-48200000,335600000,600,2,0,0,0.11,0.34,0,2.11,-1.14,0.41,-0.427,-0.073,-0.143,43410000,1.03
"KMB",133.4,141.52,"UP",41977266652,"Consumer Discretionary",1.78e+09,2.018e+10,45000,3,23.59,4.21,2.08,96.37,139.05,20.24,5.27,0.769,3.173,0.22,0.088,337600000,0.42
"KMI",13.56,15.8,"UP",40717847616,"Utilities",2.5e+09,1.905e+10,10529,2.9,16.52,0,2.14,1.34,50.37,1.03,1.1,0.633,0.082,0.04,0.131,2.25e+09,0.93
"KMPR",75.74,58.4,"DOWN",3039032846,"Finance",-350600000,5.82e+09,10300,2.9,0,0,0.62,1.25,0,0.49,-5.5,0.86,-0.097,-0.012,-0.06,63780000,0.8
"KMT",35.22,35.96,"UP",2177376514,"Industrials",136600000,2.02e+09,8732,3.1,15.06,4.18,1.07,1.62,73.69,0.49,1.64,0,0.106,0.087,0.068,82390000,1.92
"KMX",93.3,128.19,"UP",9954975933,"Consumer Discretionary",807400000,3.367e+10,32647,2.3,13.05,2.07,0.3,1.9,0,3.49,4.95,0,0.153,0.048,0.024,158800000,1.41
"KN",18.12,23.3,"UP",1250513646,"Telecommunications",-129500000,801900000,7000,2.2,0,0,1.56,1.09,20.92,0,-1.44,0,-0.097,0.105,-0.161,91400000,1.46
"KNOP",14.89,13.18,"DOWN",496509031,"Consumer Discretionary",65600000,267900000,1,2,8,0.72,1.8,0.85,8.68,1.71,1.8,0.173,0.113,0.047,0.245,33840000,1
"KNSL",202.16,236.1,"UP",7204713603,"Finance",140200000,759300000,375,2.7,54.4,3.63,9.73,12.16,13.56,0.2,6.07,0.864,0.214,0.205,0.185,22810000,0.86
"KNTK",23.09,30.81,"UP",4911805591,"Energy",-15500000,683700000,200,2.3,0,0,7.39,0,17.27,0,-3.17,0.331,0.018,-1.188,-0.023,39300000,2.75
"KNX",40.9,60.75,"UP",7736019750,"Industrials",877200000,7.5e+09,27400,2,9.29,1.24,1.04,1.21,11.45,0.3,5.32,0.949,0.126,0.085,0.11,162370000,1.15
"KO",52.76,58.78,"UP",258389667524,"Consumer Staples",9.93e+09,4.234e+10,79000,2.1,26.08,5.2,6.1,11.29,59.73,1.74,2.28,0.713,0.424,0.126,0.234,4.33e+09,0.58
"KODK",8.17,4.72,"DOWN",423643310,"Consumer Discretionary",6e+06,1.21e+09,4200,0,116.94,0,0.37,0.5,0,0.34,0.05,0.325,0.014,-0.048,0.007,78900000,4.25
"KOF",45.67,54.39,"UP",13233142406,"Consumer Staples",896200000,1.108e+10,95174,2.3,15.23,1.54,1.21,2.24,19.73,0.63,4.27,0.547,0.125,0.098,0.068,210080000,0.78
"KOP",29.84,31.18,"UP",522217879,"Industrials",64200000,1.79e+09,2088,1.7,9.55,0.53,0.33,1.58,0,2.22,2.96,0.894,0.158,0.103,0.035,21030000,1.75
"KOS",2.36,3.47,"UP",2972084983,"Energy",188700000,2.05e+09,229,1.3,18.21,0,1.59,5.05,12.84,3.49,0.4,0.931,0.375,0.096,0.092,455510000,2.84
"KR",32.13,45.14,"UP",33854059857,"Consumer Staples",2.42e+09,1.4415e+11,420000,2.6,14.27,1.23,0.23,3.47,15.66,1.37,3.28,0.814,0.254,0.136,0.017,7.16e+08,0.52
"KRC",55.22,66.82,"UP",4983654596,"Real Estate",226300000,1.07e+09,244,2.4,21.82,0,4.58,0.91,17.71,0.75,1.93,0,0.042,0.028,0.211,116870000,0.83
"KRG",14.33,21.71,"UP",4290251161,"Real Estate",-108800000,631400000,241,1.9,0,0,7.18,1.19,0,0.77,-0.62,0.996,-0.034,-0.003,-0.172,219070000,1.33
"KRO",14.76,14.81,"UP",1101584058,"Industrials",1.71e+08,2.12e+09,2248,3.3,6.45,0.32,0.51,1.22,44.91,0.46,1.48,0.153,0.195,0.111,0.081,115500000,1.11
"KRP",8.44,13.54,"UP",1142762645,"Energy",6.7e+07,193900000,28,1.6,19.64,5.53,6.21,2.17,9.75,0.45,0.95,0.397,0.174,0.09,0.346,55420000,1.48
"KSS",38.78,50.27,"UP",3479312137,"Consumer Discretionary",6.99e+08,1.89e+10,35000,2.9,5.24,0,0.17,0.75,0,1.08,5.13,0,0.15,0.136,0.037,1.27e+08,1.63
"KT",10.95,12.65,"UP",6513725728,"Telecommunications",1.01e+09,1.784e+10,23371,1,6.08,1.48,0.39,0.58,1.99,0.74,2.14,0.235,0.096,0.052,0.056,471840000,0.73
"KW",17.5,23.62,"UP",2287326749,"Real Estate",129200000,506600000,228,2.2,18.02,0,4.39,1.63,0,4.16,0.91,0.833,0.089,-0.039,0.255,136840000,1.15
"KWR",247.92,230.42,"DOWN",2919924269,"Industrials",8.3e+07,1.86e+09,4700,2.4,38.66,7.58,1.76,2.41,0,0.74,4.65,0.873,0.06,0.051,0.045,17830000,1.32
"L",44.4,57.78,"UP",13617654152,"Finance",9.91e+08,1.411e+10,10340,3,13.93,0.99,0.96,0.97,4.53,0.67,3.99,0.625,0.062,0.079,0.07,240370000,0.86
"LAD",284.24,297.17,"UP",5415944257,"Consumer Discretionary",1.29e+09,2.755e+10,21150,2,4.57,0.9,0.19,1.13,0,1.4,44.73,0,0.27,0.135,0.047,27500000,1.33
"LADR",9.44,11.99,"UP",1355386052,"Real Estate",109800000,469300000,65,1.8,12.34,0,2.84,0.89,0,2.82,0.88,0.622,0.073,0.01,0.234,124280000,1.95
"LAZ",41.66,44.19,"UP",3513070817,"Finance",516800000,3.14e+09,3390,3.1,7.28,1,1.29,5.93,5.42,6.72,4.89,0.69,0.667,0.116,0.165,112770000,1.43
"LBRT",10.59,9.76,"DOWN",3069376117,"Energy",191100000,3.61e+09,3601,2.1,18.14,1.2,0.89,2.38,0,0.2,0.99,0.921,0.148,-0.127,0.053,185510000,2.3
"LC",9.5,24.48,"UP",1124449743,"Finance",295200000,1.19e+09,1384,1.9,3.55,0,0.9,0.94,3.78,4.46,2.77,0.826,0.118,0.004,0.09,102780000,1.92
"LCI",6.64,1.65,"DOWN",19031262,"Health Care",-231600000,340600000,564,3,0,0,0.06,0,0,0,-5.73,0.436,1.587,-0.478,-0.68,40620000,0.94
"LCII",128.41,156.66,"UP",2710553322,"Consumer Discretionary",496400000,5.56e+09,13900,1.7,4.95,0.25,0.45,1.76,0,0.81,19.47,0,0.343,0.127,0.074,25440000,1.42
"LDOS",102.44,88.86,"DOWN",13882769267,"Technology",7.25e+08,1.406e+10,43000,2.1,20.98,3.18,1.03,3.69,24.95,1.29,5.14,0.802,0.177,0.1,0.051,1.37e+08,0.8
"LEA",157.44,181.68,"UP",8259671556,"Consumer Discretionary",112900000,1.943e+10,160100,2.5,72.14,2.07,0.43,1.87,0,0.61,1.88,0,0.051,0.078,0.012,59550000,1.5
"LEG",43.34,40.69,"DOWN",4471902227,"Consumer Discretionary",388300000,5.31e+09,20300,2.7,11.95,2.3,0.86,2.87,0,1.3,2.84,0.757,0.249,0.127,0.076,136300000,1.28
"LEJU",23.3,10,"DOWN",18471051,"Finance",-150900000,534100000,2434,2,0,0,0.03,0.01,0,0.01,-110.4,0.015,-0.619,-1.008,-0.283,1370000,1.06
"LEN",74.27,115.25,"UP",23412705180,"Real Estate",4.43e+09,3.193e+10,10753,2.4,5.22,0.22,0.7,0.99,3650.44,0.24,15.18,0.951,0.174,0.164,0.118,288110000,1.43
"LEVI",19.65,25.04,"UP",5917866215,"Consumer Discretionary",571500000,6.26e+09,16600,1.8,10.86,2.05,0.95,3.33,174.34,0.53,1.41,0.793,0.329,0.231,0.091,397120000,1.12
"LFG",10.75,17.4,"UP",2105407422,"Utilities",-1600000,204500000,292,1.9,0,0,15.13,8.89,0,2.45,-0.12,0,0.015,-0.131,-0.008,80520000,0
"LH",204.88,313.34,"UP",19971840000,"Health Care",1.76e+09,1.526e+10,75500,1.9,12.48,0,1.37,2.07,11.44,0.52,18.73,0.96,0.2,0.159,0.138,92300000,1.06
"LHX",180.44,212.94,"UP",47063308964,"Industrials",1.13e+09,1.683e+10,47000,0,40.11,15.24,2.68,2.41,43.65,0.38,5.75,0.854,0.06,0.062,0.067,191300000,0.76
"LII",268.23,323.11,"UP",8287530986,"Industrials",486200000,4.59e+09,11000,3.2,17.59,1.43,1.83,0,1009.63,0,13.51,0.668,-1.404,0.509,0.106,35400000,0.91
"LIN",258.81,344.33,"UP",147255887402,"Industrials",3.84e+09,3.376e+10,65293,1.9,41.49,3.96,4.58,4.14,33.4,0.41,7.55,0.85,0.094,0.064,0.114,497190000,0.88
"LITB",2.36,1.04,"DOWN",99491440,"Consumer Discretionary",-5500000,4.38e+08,971,0,0,0,0.27,2.15,0,0,-0.05,0.079,-0.094,-0.406,-0.012,113070000,0.36
"LL",30.14,17.33,"DOWN",243206333,"Consumer Discretionary",25900000,1.15e+09,2400,3,8.56,0.29,0.19,0.79,0,0.05,0.88,0.814,0.096,0.153,0.023,28930000,2.18
"LLY",165.5,277.25,"UP",343454940227,"Health Care",5.69e+09,2.907e+10,35000,2,58.25,3.27,12.25,38.47,102.07,1.97,6.27,0.843,0.708,0.208,0.211,950180000,0.36
"LMND",113.36,42.91,"DOWN",1657106727,"Finance",-279400000,1.71e+08,1119,3.1,0,0,7.81,1.4,0,0,-4.53,0.318,-0.294,-0.244,0,61820000,0
"LMT",344.64,353.58,"UP",126951248417,"Industrials",5.87e+09,6.472e+10,114000,2.7,22.44,2.86,1.98,10.78,23.14,0,21.78,0.77,0.529,0.273,0.091,264100000,0.76
"LNC",48.82,68.54,"UP",9178589856,"Finance",8.8e+08,1.964e+10,10848,2.9,6.42,0.39,0.29,0.62,2.04,0.71,5.18,0.792,0.054,0.065,0.045,171130000,1.82
"LNN",127.47,151.48,"UP",1854013186,"Industrials",65800000,770700000,1262,2.7,27.59,1.2,2.39,4.59,0,0.29,5.96,0.935,0.178,0.143,0.085,10980000,0.6
"LOW",160.38,256.39,"UP",120825572372,"Consumer Discretionary",8.4e+09,9.539e+10,200000,2.2,14.71,1.56,1.22,0,21.83,0,12.68,0.791,-1.547,0.468,0.088,6.38e+08,1.14
"LPG",12.81,12.68,"DOWN",730084754,"Consumer Discretionary",90900000,288100000,79,2,8.38,0.56,2.59,0.9,0,0.78,2.27,0.712,0.101,0.058,0.316,39900000,1.15
"LPI",20.33,61.53,"UP",1117236481,"Energy",528900000,1.94e+09,273,2.4,2.21,0.21,0.6,1.71,1.37,1.9,31.17,0.803,1.149,0.369,0.272,16830000,3.35
"LPL",8.66,10.09,"UP",3152356317,"Technology",147700000,1.971e+10,70707,4,29.81,0,0.17,0.38,2.67,1.09,0.16,0.021,0.075,0.07,0.035,715630000,1.39
"LRN",21.01,33.11,"UP",1456618577,"Consumer Discretionary",90300000,1.71e+09,7500,1.4,16.12,0.81,0.86,1.84,7.88,0.62,2.14,0,0.116,0.09,0.053,42080000,0.24
"LSI",76.78,151.98,"UP",9318604077,"Real Estate",310300000,9.2e+08,2241,2.2,27.01,5.4,9.33,2.43,69.48,0.88,3.76,0.955,0.092,0.054,0.337,84270000,0.6
"LTC",37.77,34.24,"DOWN",1561459693,"Real Estate",94300000,166800000,25,3,16.55,2.02,9.55,1.95,0,0.99,2.35,0.783,0.125,0.032,0.575,40270000,0.91
"LTHM",18.78,24.77,"UP",5623714017,"Industrials",108100000,588700000,1109,2.5,57.09,57.09,9.32,3.95,0,0.2,0.53,0.914,0.059,0.006,0.093,179270000,1.74
"LU",14.3,5.65,"DOWN",3543009980,"Finance",2.08e+09,8.81e+09,92380,2,1.91,19.09,0.43,0.28,0,0.55,0.84,0.17,0.161,0.125,0.237,2.29e+09,0
"LUMN",9.72,12.74,"UP",7552801032,"Telecommunications",2e+09,1.902e+10,35000,3.5,3.12,0,0.33,0.5,2.83,2.3,1.94,0.803,0.168,0.089,0.105,1.03e+09,1.05
"LUV",45.04,42.72,"DOWN",21568278352,"Consumer Discretionary",8.27e+08,2.269e+10,64123,2,29.38,0,0.96,2.03,6.35,0.8,1.27,0.796,0.077,0.064,0.036,5.93e+08,1.07
"LVS",57.95,37.68,"DOWN",29282851083,"Consumer Discretionary",-1.143e+09,4e+09,44500,2,0,0,7.65,7.98,0,3.92,-1.5,0.41,0.514,-0.049,0.469,7.64e+08,1.14
"LW",75.67,63.02,"DOWN",12412632905,"Consumer Staples",4.03e+08,4.24e+09,8000,1.9,30.61,0.9,2.89,24.03,34.81,5.38,2.78,0.92,0.99,0.103,0.095,1.44e+08,0.54
"LXP",10.18,15.64,"UP",2703785594,"Real Estate",314100000,3.3e+08,62,2.8,10.16,2.03,8.69,1.38,63.58,0.76,1.02,0,0.148,0.017,0.952,283570000,0.77
"LXU",2.52,11.08,"UP",1481842081,"Industrials",-47300000,801200000,545,1.5,0,0,1.58,2.07,5.25,1.18,-4.07,0.45,-0.094,0.095,-0.059,88180000,1.71
"LYB",89.29,92.18,"UP",25016738370,"Industrials",4.26e+09,5.308e+10,19100,2.7,6.46,0,0.5,2.24,11.7,0.93,12.94,0.699,0.348,0.239,0.08,3.26e+08,1.21
"LYG",1.85,2.54,"UP",32465840574,"Finance",4.95e+09,1.622e+10,57955,1,6.93,0,2.01,0.59,0,1.71,0.28,0.02,0,0.07,0,1.755e+10,1.26
"LYV",70.67,119.71,"UP",18282759929,"Consumer Discretionary",-98500000,1.164e+10,10200,2.1,0,0,1.45,0,8.74,0,-0.51,0.726,0.206,-0.064,-0.008,224670000,1.31
"LZB",39.71,35.98,"DOWN",1072031593,"Consumer Discretionary",163900000,2.44e+09,12800,2,6.6,0.85,0.44,1.28,0,0,3.76,0,0.205,0.189,0.067,43090000,1.05
"M",11.22,26.84,"UP",5656940799,"Consumer Discretionary",1.54e+09,2.593e+10,88857,2.8,3.79,0,0.21,1.5,4.14,0.85,5.17,0.881,0.459,0.229,0.06,271100000,1.77
"MA",351.49,360.99,"UP",314926149301,"Consumer Discretionary",9.78e+09,2.164e+10,24000,1.8,32.47,1.55,14.23,49.34,34.26,2.28,10.01,0.787,1.456,0.399,0.452,9.65e+08,1.1
"MAA",122.71,228.94,"UP",18214808200,"Real Estate",625300000,1.96e+09,2429,2.4,28,4,8.95,2.93,45.28,0.76,5.41,0.974,0.105,0.042,0.32,115360000,0.73
"MAC",10.66,17.54,"UP",2392604584,"Real Estate",36100000,861800000,639,3.2,70.76,336.93,2.9,0.89,21.51,1.56,0.17,0.855,0.012,-0.022,0.042,214990000,2.11
"MAIN",31.35,44.61,"UP",2789183356,"Finance",258300000,323500000,80,2.6,10.76,1.35,9.11,1.55,0,1,3.67,0.2,0.143,0.042,0.798,73310000,1.32
"MAN",89.87,97.52,"UP",4076496858,"Consumer Discretionary",436200000,2.04e+10,30000,0,9.74,1.06,0.2,1.71,9.16,0.58,8.11,0,0.165,0.11,0.02,52700000,1.69
"MANU",16.47,14.26,"DOWN",2121437622,"Consumer Discretionary",-132500000,668900000,1035,2,0,0,3.28,14.39,35.13,5.03,-0.83,0.838,-0.555,-0.069,-0.198,157960000,0.56
"MAS",53.68,69.68,"UP",10441998395,"Industrials",8.58e+08,8.78e+09,20000,2.5,12.22,1.95,1.16,0,24.25,0,3.65,0.969,-1.8,0.357,0.098,2.26e+08,1.16
"MATV",39.47,29.82,"DOWN",1305292635,"Basic Materials",77600000,1.61e+09,5100,1,9.74,1.95,0.82,1.08,0,1.81,2.47,0.562,0.114,0.047,0.048,54910000,0.83
"MATX",56.69,88.64,"UP",2868232428,"Consumer Discretionary",1.4e+09,4.77e+09,4259,2,2.12,0.14,0.57,1.33,1.87,0.27,33.71,0.867,0.792,0.413,0.293,39900000,1.33
"MAX",37.58,15.6,"DOWN",469071173,"Industrials",-21600000,560400000,149,2.1,0,0,1.57,183.88,16.33,61,-0.53,0.963,6.659,0.018,-0.039,41700000,0
"MAXR",36.3,29.74,"DOWN",1682236645,"Telecommunications",4.8e+07,1.75e+09,4400,2.2,45.34,0,1.04,1.26,101.05,1.53,0.54,0.797,0.034,0.042,0.027,7.4e+07,1.41
"MBI",6.41,13.36,"UP",592919060,"Finance",-3.87e+08,1.59e+08,87,2.7,0,0,4,0,3.21,0,-7.8,0.665,0.862,-0.083,0,49830000,1.23
"MC",45.93,62.77,"UP",2738338800,"Finance",3.24e+08,1.46e+09,990,3.3,8.71,0,1.86,6.18,20.68,0,4.66,0.994,0.69,0.782,0.222,66290000,1.41
"MCB",35.9,105.21,"UP",739609226,"Finance",85800000,229300000,202,2,8.94,0,3.24,1.29,10.94,0.08,7.66,0.871,0.151,0.196,0.374,10950000,1.15
"MCD",210.22,267.21,"UP",199953239912,"Consumer Discretionary",5.91e+09,2.327e+10,200000,2.1,34.82,5.22,8.73,0,65.6,0,7.94,0.698,-1.257,0.283,0.306,737500000,0.65
"MCK",174.43,248.9,"UP",55842156377,"Health Care",1.4e+09,2.6845e+11,58000,1.9,42.1,4.45,0.22,0,13.18,0,9.4,0.892,-0.912,0.336,0.005,144200000,0.66
"MCO",292,391.06,"UP",48366632000,"Finance",1.55e+09,5.72e+09,14571,2.3,31.6,0,8.49,21.48,77.4,0,8.37,0.947,0.643,0.227,0.272,183200000,1.23
"MCS",12.77,17.95,"UP",477320248,"Consumer Discretionary",2300000,645700000,7500,1.7,1905,127,0.76,1.06,5.85,0.62,0.01,0,0.005,-0.035,0.004,31490000,1.54
"MCY",51.15,52.9,"UP",1613514641,"Finance",-375800000,3.57e+09,4300,3.5,0,0,0.54,1.16,7.71,0.22,-6.79,0.413,-0.029,0.105,-0.016,55370000,0.52
"MD",23.88,26.98,"UP",1631397464,"Health Care",81900000,1.96e+09,2725,3,15.95,1.13,0.65,1.54,20.32,0.96,0.96,0.9984,0.097,0.085,0.043,85080000,1.83
"MDC",44.09,55.4,"UP",2179971327,"Consumer Discretionary",641800000,5.66e+09,2080,2.7,3.39,0.27,0.38,0.7,41.13,0.56,8.8,0.743,0.229,0.132,0.113,70880000,1.37
"MDT",116.02,104.47,"DOWN",115716085340,"Health Care",5.21e+09,3.107e+10,95000,2.2,22.12,1.75,3.64,2.16,49.6,0.44,3.87,0.834,0.099,0.069,0.168,1.33e+09,0.78
"MDU",25.69,30.74,"UP",5777194523,"Industrials",327800000,6.17e+09,12826,1.8,18.01,2.86,0.95,1.74,0,0.89,1.61,0.743,0.098,0.073,0.053,203350000,0.74
"MEC",12.63,14.48,"UP",139108982,"Industrials",-3500000,496600000,2200,1.5,0,0,0.38,0.95,0,0.37,-0.18,0.712,-0.03,-0.02,-0.012,20580000,0.52
"MED",192.6,210.84,"UP",1299313284,"Consumer Discretionary",156900000,1.66e+09,984,1.7,7.94,0.4,0.7,9.38,0,0.21,13.47,0.902,0.843,0.811,0.094,11350000,1.2
"MEI",37.59,48.37,"UP",1511607140,"Technology",94600000,1.16e+09,7000,2.3,17.23,1.15,1.34,1.74,31.18,0.23,2.52,0,0.103,0.094,0.082,36570000,1.12
"MET",46.08,62.58,"UP",58465129583,"Finance",3.41e+09,6.831e+10,43000,1.7,18.42,0,0.85,1.61,4.29,0.46,4.01,0.75,0.06,0.088,0.05,809700000,1.07
"MFA",15.04,18.16,"UP",1013352043,"Real Estate",-40400000,2.24e+08,298,2.7,0,0,4.62,0.49,12.72,3.32,-0.49,0.64,-0.017,0.037,-0.18,102520000,1.86
"MFC",17.55,19.1,"UP",31334937982,"Consumer Discretionary",5.51e+09,2.181e+10,38000,2.5,5.85,0.68,1.44,0.92,2.36,0.27,2.84,0.537,0.153,0.126,0.253,1.92e+09,1.13
"MFG",2.55,2.56,"UP",27426164782,"Finance",3.89e+09,9.2e+09,54492,3,7.13,3.96,3.07,0.44,1.67,1.29,0.31,0.004,0.064,0.031,0.422,1.268e+10,0.55
"MFGP",5.43,5.56,"UP",2005304004,"Technology",-244100000,2.74e+09,11355,3,0,0,0.76,0.74,14.38,1.6,-0.73,0.131,-0.078,-0.02,-0.084,3.27e+08,1.6
"MG",7.13,7.61,"UP",135323512,"Technology",2600000,686400000,5400,1.3,55.98,10.37,0.18,0.71,7.1,1.1,0.08,0.503,0.013,0.035,0.004,29960000,1.68
"MGA",69.71,80.26,"UP",16103875499,"Consumer Discretionary",6.83e+08,3.603e+10,152000,2.1,25.03,0.63,0.45,1.5,42.57,0.32,2.26,0.722,0.059,0.098,0.019,291100000,1.52
"MGM",29.7,44.76,"UP",14012126030,"Consumer Discretionary",3.19e+09,1.188e+10,42000,2.1,4.79,0,1.12,2.49,9.84,1.49,7.14,0.726,0.539,0.107,0.269,417390000,2.07
"MGY",7.26,18.94,"UP",5640352222,"Energy",686200000,1.48e+09,192,2.4,7.35,0.61,4.05,4.71,10.16,0.35,3.74,0,0.593,0.492,0.351,188150000,2.16
"MHK",136.11,177.89,"UP",6037612453,"Consumer Discretionary",180900000,1.185e+10,43000,2.8,35.51,0,0.49,0.74,0,0.33,2.57,0.788,0.022,0.1,0.015,63530000,1.28
"MHO",43.5,61.84,"UP",1156505888,"Consumer Discretionary",473700000,3.97e+09,1657,1,2.43,0.19,0.28,0.57,0,0.46,16.44,0.968,0.267,0.153,0.119,27620000,1.85
"MIR",10.96,10.53,"DOWN",1668155041,"Technology",0,6.37e+08,2630,1.7,0,0,2.2,0.73,0,0.51,-24.95,0.848,0,-0.027,0,180990000,0
"MIXT",12.48,12.25,"DOWN",174459152,"Technology",6100000,143500000,996,1,29.12,16.54,1.16,1.51,27.75,0.05,0.27,0.366,0.05,0.073,0.042,22050000,0.84
"MKC",93.99,95.57,"UP",21142759544,"Consumer Staples",693700000,6.39e+09,14000,3.1,31.13,6.1,3.36,4.67,345.39,1.17,2.57,0.875,0.152,0.085,0.109,268300000,0.59
"MKFG",10.83,5.63,"DOWN",418867881,"Technology",33300000,96800000,374,1.9,10.31,0,3.92,1.39,0,0,0.19,0.858,0.133,-0.25,0.344,188100000,0
"MKL",1021.01,1230.46,"UP",16298119050,"Finance",34800000,1.084e+10,20300,2,725.45,72.55,1.54,1.43,7.39,0.35,1.7,0.794,0,0.135,0,13560000,0.75
"ML",11.24,3.86,"DOWN",270675625,"Technology",-47600000,256800000,556,2,0,0,0.93,1.11,0,0,-0.19,0.411,-0.207,-0.415,-0.185,236310000,0
"MLI",34.84,59.24,"UP",3576788875,"Industrials",6.45e+08,4.06e+09,5337,1,5.54,0.46,0.85,2.16,5.88,0,11.38,0.921,0.45,0.4,0.159,55590000,1.09
"MLM",277.8,438,"UP",20934632608,"Industrials",788400000,5.93e+09,10000,2.1,27.2,1.74,3.63,3.16,53.87,0,12.6,0.98,0.123,0.069,0.135,62400000,0.85
"MLP",11.2,10.04,"DOWN",167438108,"Finance",5500000,21700000,9,2,31.54,0,8.04,5.08,15.03,0,0.28,0.191,0.213,0,0.256,19430000,0.55
